Currency,ExRate
BGN,1.7464059291
NZD,1.512277882
ILS,3.590141977
RUB,65.1620680418
CAD,1.3478882043
USD,1.0
PHP,51.9573176176
CHF,1.0182159121
AUD,1.4305741584
JPY,110.8402535941
TRY,6.0209840164
HKD,7.8463255648
MYR,4.1475131708
HRK,6.6188052505
CZK,22.9618715957
IDR,14292.4993302973
DKK,6.666845254
NOK,8.7422984195
HUF,288.8025716582
GBP,0.7631931422
MXN,19.0412536834
THB,31.9046343424
ISK,121.6180016073
ZAR,14.5145995178
BRL,3.9707116707
SGD,1.3631574248
PLN,3.8246271989
INR,69.4102151978
KRW,1170.8009643718
RON,4.2463612823
CNY,6.7658719529
SEK,9.5774622734
EUR,0.8929368694
