No.,Member ID (internal),Organisation Name,Country,Submission Date,Primary Activity or Product,Membership Number,1.1 Please state your main activities as a palm oil grower,2.1.1 Please state your number of estates/management units,"2.1.2 Total land controlled/managed for oil palm cultivation, planted (already planted areas and areas used for roads, mills, housing and other associated infrastructure)",2.1.3 Total area unplanted (land area controlled/managed that is designated for future planting of oil palm),2.1.4 Total land designated and managed as HCV areas,2.1.5 Other conservation areas set aside excluding HCV areas reported in 2.1.4,2.1.6 Total land under scheme/plasma smallholders certified,2.1.6.1 Total land under scheme/plasma smallholders uncertified,2.1.7 Total land area controlled/managed for oil palm cultivation (This is an auto sum of 2.1.2 - 2.1.6.1),2.2.1 Number of estates/Management Units certified,2.2.2 Total certified area,2.3.1 Indonesia - Please indicate which province(s),2.3.2 Malaysia - please indicate which state(s),2.3.3 Other - please indicate which country(ies),2.4.1 New area planted in this reporting period,2.5.2 type_of_smallholder,2.5.3.1 Scheme/plasma,2.5.3.2 Scheme/plasma,2.5.4.1 Associated smallholders,2.5.4.2 Associated smallholders,2.5.5.1 Independent smallholders,2.5.5.2 Independent smallholders,2.5.6.1 Outgrowers,2.5.6.2 Outgrowers,2.5.7.1 Other 3rd party supplier Total FFB volume that is supplied,2.5.7.2 Other 3rd party supplier FFB volume supplied that is certified,2.6.1 Number of Palm Oil Mills operated,2.6.2 Number of Palm Oil Mills certified,2.6.3 Number of Palm Kernel crushers and/or Palm Kernel mills operated,2.6.4 Number of Palm Kernel crushers and/or Palm Kernel mills certified,2.7.1 Total hourly FFB processing capacity (ton FFB/hr),2.7.2 Total hourly kernel processing capacity (ton PK/hr),3.1.1 Book and Claim,3.1.2 Mass Balance,3.1.3 Segregrated,3.1.4 Identity Preserved,3.2 Sold under other schemes for CSPO & CSPK,3.3 Sold as conventional for CSPO & CSPK,3.4 Total Volume (Auto sum for 3.1 - 3.3),4.1 Year of first RSPO P&C certification (planned or achieved),"4.1 If target has not been met, please explain why",4.2 Year expected to achieve 100% RSPO certification of estates,"4.2 If target has not been met, please explain why",4.3 Year expected to achieve 100% RSPO certification of scheme/associated smallholders and outgrowers,"4.3 If target has not been met, please explain why",4.4 Year expected to achieve 100% RSPO certification of independently sourced FFB,"4.4 If target has not been met, please explain why","5.1 With regards to RSPO General Assembly resolution 6g that calls for members to submit maps of their concessions by ACOP deadline, please upload your estate location concession map(s) in Shapefile format here:",Map data declaration,Comment,5.2 Please state if any concession sites have been recently acquired or if any concession sites have changed ownership since the previous ACOP submission,6.1 Are you currently assessing your operational GHG footprints using other tools/ methodology(s) than RSPO PalmGHG Calculator?,6.1 File,6.1 Link,6.1 Description,6.1 Reason,6.1.2.1 How many management unit is currently reporting its GHG footprint using RSPO PalmGHG Calculator?,6.1.2.2 GHG footprint by hectare (tCO2e/ha),6.1.2.2 GHG footprint by tonne of Crude Palm Oil (tCO2e/tCPO),6.1.2.3 What would the key emissions sources of reporting management unit?,7.1 Outline actions that you will take in the coming year to advance your plans for certification,7.2 Outline actions that you will take in the coming year to promote CSPO along the supply chain,"8.1 If you have not disclosed any of the above information, please indicate the reasons why",- Others:,9.1 Are you currently supporting any independent smallholder groups?,9.1 How are you supporting them?,9.1 When do you plan to start your support for independent smallholders,9.1 Do you have any future plans to support independent smallholders?,1.1.1 Number of groups under your management,1.1.2 Number of smallholders (group members),1.1.3 Number of Outgrowers (group members),1.1.4 Total number of group members,1.2.1 Total land managed for oil palm cultivation - already planted with oil palm,1.2.2 Total land managed for oil palm cultivation - unplanted but designated for future planting,1.2.3 Total land designated and managed as HCV areas,1.2.4 Other conservation areas set aside excluding HCV areas reported in 1.2.3,1.2.5 Total land area managed,1.3.1 Number of certification units,1.3.2 Total certified area,1.4.1 Indonesia - Please indicate which province(s),1.4.2 Malaysia - Please indicate which state(s),1.4.3 Other - Please indicate which country/countries,"1.5.1 Area planted in this reporting period (only for new planted area, not replanting)",1.5.2 Have New Planting Procedure notifications been submitted to the RSPO for plantings this year?,1.6.1 Was there an increase in group members this year?,"1.6.1 If yes, What is the increase this reporting period?","1.6.1 If no, What is the reduction this reporting period?",1.6.2 Was there an increase in the land area managed this year?,"1.6.2 If yes, What is the increase this reporting period?","1.6.2 If no, What is the reduction this reporting period?",1.7.1 Total FFB produced,1.7.2 Total FFB produced that is RSPO-certified,2.1 Book and Claim - Indicate volume,2.1 Book and Claim - Indicate volume (tonnes),2.1 Physical - Indicate volume,2.1 Physical - Indicate volume (tonnes),3.1 Year of RSPO group certification (planned or achieved),"1 What significant economic, social or environmental obstacles have you encountered in the production, procurement, use and/or promotion of CSPO and what efforts did you make to mitigate or resolve them?",2 In addition to the actions already reported in this ACOP how has your organization supported the vision of RSPO to transform markets in other ways? (e.g. Funding; Engagement with key stakeholders; Business to business education/outreach)
1,3294,Aceites Manuelita S.A.,Colombia,"May 5, 2018, 2:03 pm",opg,1-0163-14-000-00,"Oil palm grower, Oil palm grower &amp; miller, Oil palm grower, miller and kernel crusher operator",18,7584,-,848,0,-,-,8432,1,7200,-,-,Colombia,0,-,0,0,0,0,0,0,0,0,0,0,2,2,1,1,70,40,0,2150,0,0,0,7180,9330,2016,-,2016,"Although we do not have associated producers, aceite manuelita has been working with the accompaniment with leading producers to achieve the RSPO certification, in addition, farm plans have been established where works are established for:1. Identification of the AVC that the property has and the recommendations for its management.2. According to the property recommendations are suggested to build or maintain landscape management tools. EJ, Live fences, restoration, conservation of existing forests etc.Coverage map3. Identification of the GAP that the provider currently implements and opportunities for improvement.4. In the social component is done in a way to generate a characterization of the property and they are presented with opportunities for improvement such as:- Management of solid waste and agrochemicals- Water conservation",-,-,2025,"We do not have associated producers, 100% of the FFB suppliers are independent suppliers. Currently the goal of Manuelita is to accompany in the certification process in (4) suppliers who are interested in obtaining certification.","opgrowers_aceites_manuelita_sa_2018.zip,opgrowers_aceites_manuelita_sa_2018.zip",-,Aceites Manuelita declares 100% of its own lots cultivated in palm. Aceites Manuelita is currently working with in the verification of its shape polygons.,"At present, there has been no expansion of the cultivation area, neither own properties nor concession lease lands.",y,-,-,-,-,-,-,-,-,"Aceites Manuelita is currently working on the implementation of RSPO, making a diagnosis about compliance with the requirements of the standard in (8) leading plantations establishing work plans to achieve RSPO certification, through the planning of environments, social networks and production aspects in oil palm crops.","Aceites Manuelita, is participating in the zero deforestation project where it includes all its supply base to promote the conservation of areas of high conservation value that are part of the pillars of the RSPO certification.",unknown,-,y,"Aceites manuelita, currently working on the accompaniment and technical assistance in good agronomic practices (GAP) through the project closing gaps, using the methodology of producer to producer, so that this makes planning, its environmental assessment, improvement of productivity and agronomic aspects in their palm oil crops.",-,-,-,-,-,-,0,0,0,0,0,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,-,0,-,0,-,"‰Û¢ Today, the RSPO certification in Colombia is voluntary, this means that not all palm companies are making the required investments to obtain certification, generating a competitive imbalance.‰Û¢ High costs in studies and certification processes (EIS, EIA, LUCC and AAVC)","Aceites manuelita, through its sustainability strategy, has as an initiative in its RFF suppliers to implement work plans to achieve RSPO certification, through an exercise in planning and evaluation of environmental, social and productive aspects in oil palm crops, to improve conditions of sustainability of the palm tree activity developed by small and medium producers. Additionally, Aceites Manuelita, through its clients, promotes the commercialization and management of responsible products in economic, social and environmental aspects under the estÌÁndar RSPO"
2,1639,ACEITES S.A.,Colombia,"May 3, 2018, 7:48 am",opg,1-0127-12-000-00,"Oil palm grower, miller and kernel crusher operator",40,9609,2069,526,0,-,-,12204,39,11560,-,-,Colombia,0,associated,0,0,1444.3,94.2,0,0,0,0,0,0,1,1,1,1,45,4.1,0,0,0,0,19378,0,19378,2017,-,2020,-,2020,-,2020,-,acopgrowers_aceites_2017.zip,y,-,"Yes, El Idilio Plantation was introduced",n,-,-,-,-,40,-1.05,0.49,"POME,Manufacturing and transport of fertilisers","We will keep to improve our certification system and implement a control system in all our management units. we will continue working on the certification of the remaining areas, and we will seek to implement other sustainability standards that the market requires","We have a strategic alliance with our partner marketer, CI Biocosta S.A.  through the implementation of the certification standard of the supply chain in the Palm Oil Mills, and the control of the providers in our supply base. Certification started with the mass balance model and we hope that all plantations certified get the model core identity preserved.",unknown,-,n,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"On the production and promotion of CSPO, we have found economic obstacles, due to the high cost of the studies required for the fulfillment of some of the criteria of the standard, to solve this issue, assessments such as HCV, EIA, EIS and NPP  were assumed by the mil.The long response time by RSPO, for the approval of the studies and other documents, has become another obstacle.At the social level, the main obstacles are due to cultural facts, there are practices that have been done for generations and it is too difficult to change them.","Aceites S.A. supports the visiÌ_n of the RSPO. We encourage our suppliers in the implementation of best practices for the cultivation and environmental, committing them to the compliance of the Sustainability Policy, established by the Company. With our stakeholders,  spreading information about the production of Sustainable Palm Oil and the fulfillment of the RSPO Principles and Criteria"
3,998,"Agroaceite, S.A.",Guatemala,"May 4, 2018, 5:26 am",opg,1-0107-11-000-00,"Oil palm grower, miller and kernel crusher operator",23,6435,60,0,516,0,0,7011,23,0,-,-,Guatemala,0,-,0,0,0,0,0,0,0,0,0,0,1,0,2,0,30,30,0,0,0,0,0,21000,21000,2018,-,2018,-,-,-,2022,-,acopguatemala_agroaceite_2018.zip,y,-,"Se han rentado 50 Ha en 2018, se dara un lapso de tiempo para determinar el crecimiento e iniciar con el NPP 2018.",y,-,-,-,-,-,-,-,-," Mantener las certificaciones de Rainforest Alliance, GMP y Kosher, las cuales sirven de base y de mantenimiento al sistema de gestion de la empresa.","Ya se cuenta con un sistema definido de promociÌ_n de nuestro aceite crudo, seguramente continuaremos brindando los mejores productos al mercado por medio de comunicaciones electrÌ_nicas, visitas e intercambios con nuestros compradores.",other,"Se considera oportuno el publicar la informaciÌ_n necesaria en fechas cercanas a la obtenciÌ_n de la certificaciÌ_n, la cual posteriormente quedara abierta ante consultas solicitadas de parte de los interesados.",n,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"El mayor obstaculo en esta parte de Guatemala, es la aceptaciÌ_n del cultivo de palma de parte de las comunidades cercanas, no obstante, por medio de reuniones y el sistema de CLPI se ha logrado tener ese acercamiento vital, para poder trabajar de acorde con las necesidades de las comunidades y por medio de brindar un trabajo digno y sostenible.","Se tiene compromisos con partes interesadas clave, tales como empresas de banano, caÌ±a, municipalidades y otras, con el objetivo de implementar medidas ambientales serias y de largo plazo, lo cual favorece en el largo plazo nuestro compromiso de producir bajo estÌÁndares sostenibles."
4,265,Agrocaribe,Guatemala,"May 4, 2018, 5:17 am",opg; processor,1-0069-08-000-00,"Oil palm grower, miller and kernel crusher operator",2,14291.17,874.07,67.08,67.55,-,9.74,15309.61,1,10177.12,-,-,Guatemala,0,independent,0,0,0,0,185.4,0,0,0,0,0,2,1,2,1,100,4,0,0,0,68503,0,42774,111277,2014,-,2018,-,-,-,2018,-,-,-,None,None,y,-,-,-,-,-,-,-,-,The remediation and compensation process will be finalized to continue with the Certification Audit for POM La Francia and have all the certified operation,"We promote our RSPO certificated Palm Oil by showing them our presentation of the company and telling the importance of buy product from a responsable source. And next year, we will become members of the North American Sustainable Palm Oil Network (NASPON) to join efforts.",confidential,-,y,Agrocaribe provides technical assistance an support to achieve RSPO Certification,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None,"Our commitment is total with the vision of RSPO, so much that: ‰Û¢ Agrocaribe belongs to the consultative group of Latin America and is part of the work team of Greenhouse Gases. ‰Û¢ During the 13th General Assembly of the Roundtable on Sustainable Palm Oil (RSPO), 10th November 2016, general manager (Mr. Jose Roberto Montenegro) was elected for Board of Governors, with board seat: Oil Palm Growers - Rest of the world.During 2017, a member of Agrocaribe was part of RSPO P&C Review Task Force and participated in public consultations in Central America."
5,1329,Agroindustrial Palma Real S.A. de C.V.,Honduras,"April 27, 2018, 5:40 am",opg,1-0134-12-000-00,Oil palm grower &amp; miller,9,5440,54,306,0,-,-,5800,-,0,-,-,-,0,suppliers,0,0,0,0,0,0,0,0,80279.85,0,1,0,0,0,40,2.12,0,0,0,0,0,33060.34,33060.34,2019,-,2022,-,2024,-,2024,-,agropalma_s_a_plantation.rar,y,-,we don\'t have any new sites or concession,n,-,-,-,-,1,2.91,0.81,1.-POME2.- FERTILISER,1.-Internal Training about P&C.2.- Socialization of P&C to our identified stakesholders.3.- RSPO internal Audit training. 4.- Implementation of H&S plan.5. Update of the social impact study.6.- AVC study update7.- Legal complience audit.8.- Development of the LUCA study.,"We are working on internal training, as well as updating procedures in the supply chain and complying with the laws applicable to our company.",unknown,-,n,-,y,2022,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Obstacles that we found:1.- Studies of social and environmental impact are very expensive2.- The invasions farms compaines for the farmers groups.3.- The legal complience are too slow We are mitigate:1.- We are updating de environmental and social studies.2.- we have more social proyection in our comunities helping people in educations, health.3.- we work our legal compliance continuously",1.- we participate in business education to learn how others business are implementing the P&C of RSPO.2.- We developing activities related with the social responsability with our stakesholders.
6,1,Agropalma Group,Brazil,"May 4, 2018, 11:40 pm",opg; processor,1-0003-04-000-00,Oil palm grower &amp; miller,5,42700,300,64000,0,8907,4924.78,120831.78,5,107000,-,-,Brazil,38,schemed; suppliers,191641.91,123408.16,0,0,0,0,0,0,24099.44,0,5,5,0,0,266,13.3,0,0,0,0,0,0,0,2011,-,2011,-,2014,"In 2014 Agropalma Group has achieved RSPO certification to all its FFB suppliers. However, after run a LUC analysis (in 2015), Agropalma found that two of its schemed 237 suppliers had liabilities, according the rules of RSPO Remediation and Compensation Procedures. So, these two farmers were removed from RSPO Certificaiton. At moment, company is running a Remediation and Compensation process within RSPO. When it is finished, company intends to include this farmers in the certified supply base again. Other important issue is the fact that few new FFB farmers are becoming part of Agropalma supply base. They start as independent suppliers and if they perform well in terms of production, labor and environmental management, they will be integrated as schemed suppliers. Every time this happens, this farmes will require a certain time to prepare themselves and obtain RSPO certification. Therefore, it is not possible to establish a fix deadline, because the process is dynamic. 2014 was registered just because the ACOP system requires.",2014,Explanation is provided in item 4.3 above.,shapes_agropalma_2015.zip,y,-,No changes.,y,-,-,-,-,-,-,-,-,Keeping carrying out the RaC process t ore-include two FFB suppliers into RSPO certification and support new FFB suppliers (if any) to achieve compliance with RSPO P&C. Keep paying a premium price for certified FFB.,1 - Engaging NGOs and other companies to discuss the sustainability of palm oil expansion in Brazil and the importance of having RSPO as the standard to guide this expansion in a sustainable way; 2 - Providing knowledge and know-how on RSPO to Brazilian and Latin American palm oil companies; 3 - supporting RSPO team in projects to promote RSPO; 4 - Promoting RSPO among companies that consume palm oil in Brazil and other countries.,confidential,-,n,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"The main obstacles are placed in demand side of the supply chain. As most of Agropalma clients are placed in Brazil, where the demand for Sustainable Palm Products is still low (but increasing). International clients (especially Europeans) are more interested and already buy significant amounts of certified products from Agropalma. A special challenge refers to multinational companies that delay to apply their global sourcing policies related do RSPO in Brazil. To increase demand in internal market Agropalma always promote RSPO and explain the issues and concerns related with sustainability of palm oil production worldwide to consumer companies in Brazil.","Agropalma refineries buys palm products mostly from Agropalma 5 mills (4 of them certified RSPO IP and 1 MB). Besides taking care about its own production, Agropalma promotes RSPO among its clients and other companies by sharing its experiences (in Brazil and other countries of Latin America). Agropalma also engage NGOs and governmental agencies in the discussion about the sustainability of palm oil expansion in Brazil and highlights the importance of RSPO standards as the best guide to sustainability of palm oil production.In 2013, CRA launched a new product to Brazilian market with RSPO Trade Mark. This product is called Doratta Fry, and we sold around 100 thousand units in 2017, contributing to spread RSPO name and concepts among Brazilian palm oil consumers. Agropalma is also an active member of RSPO and contributes to the improvement of the standards and the organization itself."
7,514,ANCUPA,Ecuador,"May 3, 2018, 11:19 pm",opg,1-0089-10-000-00,Oil palm grower,1,67.27,0,12.8,0,0,0,80.07,-,0,-,-,Ecuador,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,-,2022,-,-,-,2025,-,-,-,N/A,N/A,n,-,-,-,-,N/A,N/A,N/A,N/A,"1.- To maintain the environmental national registry. 2.- Establish operative, environmental and social procedures.",N/A,other,ANCUPA has not conducted this type of research.,y,"ANCUPA represents and safeguards the rights is the palm growers and extractors of palm oil and palm kernel in Ecuador. Benefitsto its members, promoting technological development of the crop, having as objectives the technology transfer for theestablishment and sustainable crop management to improve productivity in the country. Maintains cooperative agreements withacademic and research institutions to develop priority projects for the sector. It has a research center that provides services:internships, training of field personnel, meteorological information, microbiological laboratory, library and informative materials.ANCUPA works under a character interdisciplinary approach, and participatory agency gives strength to meet a commitment totransparency among stakeholders in the culture while promoting environmental responsibility and social management of naturalresources. Our commitment goes to promote the development of our activity under sustainability criteria, which result in economicand environmental benefits.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"The lack of knowledge of proper techniques of palm cultivation, as well as, a more realistic approach to the small palm growers of our country.",Through education to other small palm growers and its relationship with national law.
8,2218,BENTA WAWASAN SDN BHD,Malaysia,"March 27, 2018, 2:53 pm",opg,1-0143-13-000-00,Oil palm grower &amp; miller,12,21295,0,16186,2330,0,0,39811,12,37481,-,Sabah,-,0,-,0,0,0,0,0,0,0,0,0,0,1,0,0,0,45,45,0,0,0,0,0,0,0,2017,"Delay in the Land Use Classification Assessment due to the portion of satellite imagery (spectral reflectance of landsat 5,7 and 8)area required further processing. Our consultant, Wild Asia sdn. bhd made an appeal in December 2017 by submitting LUCA guidance document and all annex as requested by RSPO",2019,Only if  Compensation Liability Plan had been approved then only we can appoint certified body for the Auditing process,-,-,2019,-,"bwsb-shapefile.zip,bwsb-shapefile.zip",-,-,-,y,-,-,-,-,-,-,-,-,1. Await the approval of Compensation Liability Plan 2. To continue with the Stakeholder consultation and participatory mapping3. Internal Annual Auditing by Global Forestry Services initiated by Sabah Forestry Department called Timber Legality Assurance Services (TLAS)4. Internal RSPO pre-assessment of all business units before the actual RSPO Audit,Refer as above waiting for Compensation Liability Plan by RSPO,other,The construction of Biogas Plant completed in July 2017 and commence operation in September 2017. The main objective is to acquire supply of energy/electricity for the mill boiler apart trapping the Methane gas (CH4) as GHG emission mitigation.,n,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None,Engagement with Stakeholders through Corporate Social Responsibilties
9,5,Boustead Plantations Berhad,Malaysia,"May 4, 2018, 11:06 am",opg,1-0012-04-000-00,Oil palm grower &amp; miller,39,82516,0,363.9,0,0,0,82879.9,14,22454.1,-,Johor; Kedah; Kelantan; Malacca; Pahang; Perak; Penang; Sabah; Sarawak; Terengganu,-,0,outgrowers,0,0,0,0,0,0,1080392.23,257529.6,0,0,10,3,0,0,425,425,0,400,0,58445,0,0,58845,2011,-,2022,-,2022,-,2022,-,boustead_consession-map.zip,y,We are currently in the process of digitizing our estate maps to a new format/technology. We will forward them to you in the next report.,Yes we have but we are in the process of digitizing the recently acquired estate map.,n,-,-,-,-,3 Business Unit,Nak Business Unit 1.16Sg. Jernih Business Unit 2.06Trong Business Unit 2.92,Nak Business Unit 1.61Sg. Jernih Business Unit 1.05Trong Business Unit 0.9,Nak Business Unit Land ConversionSg. Jernih Business Unit Land ConversionTrong Business Unit Land Conversion,Commitment towards 100% RSPO Certification for all of our operational units by 2022 maintenance of system and practices as wellas compliance to the standards stipulated in the new RSPO P&C 2014,Generate awareness of the Boustead sustainability effort within the group and promote the use of sustainable palm oil with business partners andstakeholders.,confidential,-,n,-,y,2019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,As a grower the main challenges are managing cost as operating cost increase every year where as the CPO prices remainsvolatile and unpredictable. We would also like to see an increase in CSPO uptake/use from the buyers downstream as we(growers) have done our part in producing CSPO in large quantity.,i) Being a medium size Oil Palm producer we remain focusedon driving our existing initiatives and at the same time strengthening our commitments towards achieving sustainability in all aspects of our business. ii) Engagement with key stakeholders in explaining our commitment and our approach on sustainability matters ie through internal and external stakeholder meetings & dialogue iii) Engagement withour business partners and other
10,2551,BUMITAMA AGRI LTD,Singapore,"April 30, 2018, 6:01 pm",opg,1-0043-07-000-00,Oil palm grower &amp; miller,14,139672,5350,22310,14251,-,51254,232837,5,41594,Kalimantan Barat; Kalimantan Tengah; Kepulauan Riau,-,-,4400,schemed; outgrowers,817495,0,0,0,0,0,1007978,0,0,0,14,5,0,0,915,0,81687,19365,0,0,0,894732,995784,2014,-,2021,-,2024,-,2024,-,-,y,Will be submitted separately,-,n,-,-,-,-,7,4.4,1.48,#NAME?,"‰Û¢Once we get our HGU, we will advance our plantation for certification.‰Û¢Improve our traceability and independent smallholders program","‰Û¢We commited to promote CSPO to our supply base, plasmaholders and independent SH who supply to our mills.‰Û¢Enhancing the smallholders program for RSPO Certification",-,-,y,"We support the independent smallholders which are in our supply base. Provide them with the training related to Good Agricultural Practise (GAP), Environment Safety & Health and assistance in any other required, so they could achieve RSPO certification, beside their improvements on productivity",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"‰Û¢poor CSPO prices, no or little premium price‰Û¢economic blockage by Europe & India‰Û¢discrimination in other countries (No Palm Oil campaign in Australia and New Zealand)",active in RSPO Working Group and committed to promote RSPO to the smallholders
