No.,Member ID (internal),Organisation Name,Country,Submission Date,Primary Activity or Product,Membership Number
1,3294,Aceites Manuelita S.A.,Colombia,"May 5, 2018, 2:03 pm",opg,1-0163-14-000-00
2,1639,ACEITES S.A.,Colombia,"May 3, 2018, 7:48 am",opg,1-0127-12-000-00
3,998,"Agroaceite, S.A.",Guatemala,"May 4, 2018, 5:26 am",opg,1-0107-11-000-00
4,265,Agrocaribe,Guatemala,"May 4, 2018, 5:17 am",opg, processor
5,1329,Agroindustrial Palma Real S.A. de C.V.,Honduras,"April 27, 2018, 5:40 am",opg,1-0134-12-000-00
6,1,Agropalma Group,Brazil,"May 4, 2018, 11:40 pm",opg, processor
7,514,ANCUPA,Ecuador,"May 3, 2018, 11:19 pm",opg,1-0089-10-000-00
8,2218,BENTA WAWASAN SDN BHD,Malaysia,"March 27, 2018, 2:53 pm",opg,1-0143-13-000-00
9,5,Boustead Plantations Berhad,Malaysia,"May 4, 2018, 11:06 am",opg,1-0012-04-000-00
10,2551,BUMITAMA AGRI LTD,Singapore,"April 30, 2018, 6:01 pm",opg,1-0043-07-000-00
11,5726,Chumporn Palm Oil Industry Public Company Limited,Thailand,"March 30, 2018, 4:00 pm",opg, processor
12,1363,Community Enterprise Group - Suratthani,Thailand,"April 25, 2018, 1:23 pm",opg, smallholder
13,3167,Community enterprise growers  palm oil and palm oil sustainability. Sikao - Wangwiset,Thailand,"May 2, 2018, 4:59 pm",opg,1-0176-15-000-00
14,1022,CompaÌ±ia Industrial Aceitera Coto Cincuenta y Cuatro S.A,Costa Rica,"April 30, 2018, 10:38 pm",opg, processor
15,1970,Cooperativa de Produccion Agropecuaria de Campesinos Salama Limitada,Honduras,"May 1, 2018, 4:35 am",opg, processor
16,6505,CPI RSPO Enterprise Network,Thailand,"May 4, 2018, 3:27 pm",opg, smallholder
17,795,Daabon Group,Colombia,"May 4, 2018, 9:12 pm",opg,1-0132-12-000-00
18,5217,DARA-LAM SOON SDN BHD,Malaysia,"April 24, 2018, 12:06 pm",opg,1-0213-16-000-00
19,268,DekelOil,Cyprus,"May 2, 2018, 10:33 pm",opg,1-0070-08-000-00
20,5261,Extractora del Sur de Casanare S.A.S.,Colombia,"May 5, 2018, 1:06 am",opg,1-0214-16-000-00
21,2896,Extractora El Roble S.A.S,Colombia,"May 5, 2018, 1:26 am",opg,1-0170-14-000-00
22,2893,Extractora Frupalma S.A.,Colombia,"May 3, 2018, 3:46 am",opg, processor
23,7,FEDEPALMA - National Federation of Oil Palm Growers of Colombia,Colombia,"May 3, 2018, 7:54 pm",opg,1-0010-04-000-00
24,8,FELDA,Malaysia,"May 2, 2018, 2:03 pm",opg, smallholder
25,5855,FELDA GLOBAL VENTURES HOLDINGS BERHAD,Malaysia,"May 4, 2018, 6:28 pm",opg,1-0225-16-000-00
26,193,First Resources Limited,Singapore,"May 3, 2018, 2:17 pm",opg,1-0047-08-000-00
27,4479,Forum Petani Swadaya Merlung Renah Mendaluh (FPS-MRM),Indonesia,"April 29, 2018, 9:28 pm",opg, smallholder
28,2201,Gapoktan Tanjung Sehati,Indonesia,"April 29, 2018, 3:32 am",opg, smallholder
29,2,Genting Plantations Berhad,Malaysia,"May 4, 2018, 12:07 pm",opg,1-0086-06-000-00
30,556,Global Palm Resources Holdings Ltd.,Singapore,"April 26, 2018, 2:47 pm",opg,1-0090-10-000-00
31,719,Golden Agri-Resources Ltd,Singapore,"April 23, 2018, 1:43 pm",opg, processor
32,944,Golden Veroleum (Liberia) Inc. (GVL),Liberia,"May 3, 2018, 9:17 pm",opg,1-0102-11-000-00
33,4369,Goldtree (S.L.) Ltd,Sierra Leone,"April 8, 2018, 6:28 pm",opg,1-0191-15-000-00
34,3466,Goodhope Asia Holdings Ltd.,Singapore,"May 9, 2018, 5:35 pm",opg,1-0175-14-000-00
35,5902,Green Isan Palm Community Enterprise,Thailand,"May 9, 2018, 5:10 pm",opg, smallholder
36,1010,Grupo Jaremar,Afghanistan,"April 7, 2018, 12:44 am",opg,1-0105-11-000-00
37,1539,Hacienda La Cabana S.A.,Colombia,"May 6, 2018, 2:00 am",opg, processor
38,931,Hap Seng Plantations Holdings Bhd,Malaysia,"April 20, 2018, 11:20 pm",opg,1-0098-11-000-00
39,1366,HONDUPALMA,Honduras,"May 4, 2018, 4:55 am",opg,1-0125-12-000-00
40,4549,Ikatan Kayangan Sdn Bhd,Malaysia,"April 25, 2018, 8:07 am",opg,1-0227-17-000-00
41,3049,Industrias Aceiteras del Caribe de Honduras (HONDUCARIBE-ECARA),Honduras,"May 4, 2018, 1:12 am",opg, processor
42,3001,"Industrias de Jabones y Detergentes Las Palmas, S. A.",Guatemala,"April 27, 2018, 9:55 pm",opg,1-0160-14-000-00
43,2261,Innoprise Plantations Berhad,Malaysia,"April 30, 2018, 11:27 am",opg,1-0159-14-000-00
44,310,Johor Corporation,Malaysia,"May 4, 2018, 12:38 pm",opg,1-0080-09-000-00
45,3978,Kalyan AgroVet Investments Limited,Mauritius,"May 3, 2018, 2:54 am",opg,1-0184-15-000-00
46,6986,Kelompok Tani Tenera,Indonesia,"May 3, 2018, 8:39 am",opg, smallholder
47,306,Keresa Plantations Sdn Bhd,Malaysia,"April 13, 2018, 5:11 pm",opg,1-0077-09-000-00
48,4816,Koperasi Unit Desa (KUD) Teratai Biru,Indonesia,"May 9, 2018, 2:08 pm",opg,1-0207-16-000-00
49,4133,KRETAM HOLDINGS BERHAD,Malaysia,"May 3, 2018, 3:38 pm",opg,1-0189-15-000-00
50,13,Kuala Lumpur Kepong Berhad,Malaysia,"May 3, 2018, 6:59 pm",opg,1-0014-04-000-00
51,6100,KUD Tani Subur,Indonesia,"May 4, 2018, 6:40 pm",opg, smallholder
52,2359,Kwantas Corporation Berhad,Malaysia,"May 4, 2018, 3:40 pm",opg,1-0150-14-000-00
53,203,Lam Soon Plantations Sdn Bhd,Malaysia,"April 24, 2018, 12:27 pm",opg,1-0044-07-000-00
54,3479,Lumnam Kadae Pattana Oil Palm Community Enterprise Group,Thailand,"April 12, 2018, 11:45 am",opg,1-0169-14-000-00
55,16,M.P. Evans Group PLC,United Kingdom,"April 30, 2018, 6:09 pm",opg,1-0027-06-000-00
