_links,asOfDate,closingPrice,country,currency,dividendQualityScore,exchange,fiftyTwoWeekHigh,fiftyTwoWeekLow,fundamentalAnalysisScore,latestAnnualFilingDate,latestQuarterlyAnnualFilingDate,latestSemiAnnualFilingDate,marketCap,name,oneMonthSharePricePerformance,oneYearSharePricePerformance,peers,profile,symbol
"{'self': {'href': '/companies/DSY-FR'}, 'curies': [{'name': 'cn', 'href': 'https://api.capitalcube.com/docs/rels/{rel}', 'templated': True}], 'cn:alerts': {'href': '/companies/DSY-FR/alerts'}, 'cn:peers': {'href': '/companies/DSY-FR/peers'}, 'cn:reports': {'href': '/companies/DSY-FR/reports'}, 'cn:stats': {'href': '/companies/DSY-FR/stats'}}",2019-05-07T00:00:00.000Z,119.89818701438,FRANCE,USD,100,EPA,127.75743502724,85.75511297669,72,2018-12-31T00:00:00.000Z,2019-03-31T00:00:00.000Z,2018-12-31T00:00:00.000Z,31006.698569483,Dassault Systemes SE,0.82613593691325,22.827081427264,"['ESI-FR', 'IGE-FR', 'DLT-FR', 'ALEZV-FR']","Dassault Systemes SE is a France-based company that operates as a holding. The Company is engaged in the sale of software solutions. The Company is engaged in the development of various software solutions integrated in the 3DEXPERIENCE platform. The Company's 3DEXPERIENCE portfolio consisted of three dimensional (3D) modeling applications, simulation applications creating virtual twins of products or production systems, social and collaborative applications, and information intelligence applications. The Company's software portfolio spans a spectrum of domains from modeling and scientific simulation to production and logistics optimization, and is applicable from natural resources to cities, transportation, buildings, smart products, consumer goods, all the way to biological systems and chemistry. The Company's products and services include ENOVIA, 3DEXCITE, DELMIA, CATIA, SOLIDWORKS, GEOVIA, BIOVIA, SIMULIA, DELMIA, 3DVIA, EXALEAD and NETVIBES. It operates through Outscale SASU.",DSY-FR
"{'self': {'href': '/companies/MMM-US'}, 'curies': [{'name': 'cn', 'href': 'https://api.capitalcube.com/docs/rels/{rel}', 'templated': True}], 'cn:alerts': {'href': '/companies/MMM-US/alerts'}, 'cn:peers': {'href': '/companies/MMM-US/peers'}, 'cn:reports': {'href': '/companies/MMM-US/reports'}, 'cn:stats': {'href': '/companies/MMM-US/stats'}}",2019-05-07T00:00:00.000Z,179.12,UNITED STATES,USD,83,NYSE,219.75,176.87,63,2018-12-31T00:00:00.000Z,2019-03-31T00:00:00.000Z,,103249.55157872,3M Co,-16.846943038856,-10.556276840108,"['HON-US', 'DHR-US', 'GE-US', 'ITW-US', 'JNJ-US', 'XRAY-US', 'AMZN-US', 'HPQ-US', 'ALGN-US', 'GLW-US']","3M Company is a technology company. It operates through five segments. The Industrial segment serves a range of markets, such as automotive original equipment manufacturer and automotive aftermarket, appliance, paper and printing, packaging, food and beverage and construction. The Safety and Graphics segment serves a range of markets for the safety, security and productivity of people, facilities and systems. The Health Care segment serves markets that include medical clinics and hospitals, pharmaceuticals, health information systems and food manufacturing and testing. The Consumer segment serves markets that include consumer retail, office business to business, home improvement, drug and pharmacy retail, and other markets.",MMM-US
"{'self': {'href': '/companies/AAK-SE'}, 'curies': [{'name': 'cn', 'href': 'https://api.capitalcube.com/docs/rels/{rel}', 'templated': True}], 'cn:alerts': {'href': '/companies/AAK-SE/alerts'}, 'cn:peers': {'href': '/companies/AAK-SE/peers'}, 'cn:reports': {'href': '/companies/AAK-SE/reports'}, 'cn:stats': {'href': '/companies/AAK-SE/stats'}}",2019-05-07T00:00:00.000Z,159.65,SWEDEN,SEK,83,STO,160.25,120.98,88,2018-12-31T00:00:00.000Z,2019-03-31T00:00:00.000Z,,40508.15415,AAK AB (publ),14.526542324247,24.160477537762,"['SWMA-SE', 'OEL-DE', 'AJWA-EG', 'UFC-AE']","AAK publ AB, also known as AarhusKarlshamn publ AB, is a Sweden-based holding company active primarily in the food processing sector. The Company refines vegetable oils for specialized products. The Company is organized, along with its subsidiaries, into three business segments: the Food Ingredients segment includes baking fat, dairy fat alternatives, Ice cream fats, infant formulas and oil/fats ingredients, among others; the Chocolate & Confectionery Fats segment provides chocolate and confectionery advantages, ranging from products developed for better sensory, health and longer shelf life to cost efficiency, know-how, technology and service, and the Technical Products & Feed segment includes golden wax, fatty acids, glycerin, deinking chemicals and animal feed. The Company operates Kamani Oil Industries Pvt Ltd. as a majority owned subsidiary.",AAK-SE
"{'self': {'href': '/companies/ABG-ES'}, 'curies': [{'name': 'cn', 'href': 'https://api.capitalcube.com/docs/rels/{rel}', 'templated': True}], 'cn:alerts': {'href': '/companies/ABG-ES/alerts'}, 'cn:peers': {'href': '/companies/ABG-ES/peers'}, 'cn:reports': {'href': '/companies/ABG-ES/reports'}, 'cn:stats': {'href': '/companies/ABG-ES/stats'}}",2019-05-07T00:00:00.000Z,0.021880860944896,SPAIN,USD,63,MCE,0.032598017326069,0.0089309636509779,25,2017-12-31T00:00:00.000Z,2018-09-30T00:00:00.000Z,2018-06-30T00:00:00.000Z,35.351249400286,Abengoa SA,-6.4885496183206,0.0,"['ELE-ES', 'REE-ES', 'TRE-ES', 'CFEB-BE']","Abengoa SA is a Spain-based company primarily engaged in the construction and engineering sector. The Company's activities are divided into three business segments: Engineering and construction, Concession-type infrastructure and Industrial production. The Engineering and construction division focuses on the execution of turnkey projects for electric generation plants, water infrastructure and transmission lines, among others. The Concession-type infrastructure division is structured into four lines: Solar, operating solar energy plants; Water, operating water utilities; Transmission, managing transmission line infrastructure, as well as Cogeneration and other, managing conventional cogeneration electricity plants. The Industrial production division includes the production and development of biofuels, mainly bioethanol. The Company operates through numerous subsidiaries in Europe, the Americas, Africa and Asia.",ABG-ES
"{'self': {'href': '/companies/ACN-US'}, 'curies': [{'name': 'cn', 'href': 'https://api.capitalcube.com/docs/rels/{rel}', 'templated': True}], 'cn:alerts': {'href': '/companies/ACN-US/alerts'}, 'cn:peers': {'href': '/companies/ACN-US/peers'}, 'cn:reports': {'href': '/companies/ACN-US/reports'}, 'cn:stats': {'href': '/companies/ACN-US/stats'}}",2019-05-07T00:00:00.000Z,173.94,UNITED STATES,USD,83,NYSE,183.35,132.63,91,2018-08-31T00:00:00.000Z,2019-02-28T00:00:00.000Z,,116622.21155442,Accenture Plc,-2.3631770979512,14.208798424163,"['CTSH-US', 'IBM-US', 'INFY-US', 'WIT-US', 'EBAY-US', 'ERIC-US', 'NOK-US', 'SAP-US', 'XRX-US', 'G-US']","Accenture plc is a professional services company serving clients in various industries and in geographic regions, including North America, Europe and Growth Markets. It provides management and technology consulting services. Its segments include Communications, Media and Technology; Financial Services; Health and Public Service; Products, and Resources. The Communications, Media & Technology segment serves communications, electronics, technology, media and entertainment industries. The Financial Services segment serves banking, capital markets and insurance industries. The Health & Public service segment serves healthcare payers and providers, and government departments and agencies, public service organizations, educational institutions and non-profit organizations. The Resources segment serves chemicals, energy, forest products, metals and mining, utilities and related industries. It also offers digital advertising services.",ACN-US
"{'self': {'href': '/companies/AGRO-US'}, 'curies': [{'name': 'cn', 'href': 'https://api.capitalcube.com/docs/rels/{rel}', 'templated': True}], 'cn:alerts': {'href': '/companies/AGRO-US/alerts'}, 'cn:peers': {'href': '/companies/AGRO-US/peers'}, 'cn:reports': {'href': '/companies/AGRO-US/reports'}, 'cn:stats': {'href': '/companies/AGRO-US/stats'}}",2019-05-07T00:00:00.000Z,7.05,UNITED STATES,USD,NA,NYSE,9.06,6.345,22,2018-12-31T00:00:00.000Z,2018-12-31T00:00:00.000Z,,821.71767795,Adecoagro SA,-0.28288543140029,-19.520547945205,"['BG-US', 'SEB-US', 'CRESY-US']","Adecoagro S.A. is a holding company. The Company is involved in a range of businesses, including farming crops and other agricultural products, dairy operations, sugar, ethanol and energy production and land transformation. The Company is organized into three main lines of business: farming; land transformation, and sugar, ethanol and energy. Its agricultural activities consist of harvesting certain agricultural products, including crops, rough rice and sugarcane, for sale to third parties and for internal use as inputs in its various manufacturing processes, and producing raw milk. Its manufacturing activities consist of selling manufactured products, including processed rice, sugar, ethanol and energy, among others, and providing services, such as grain warehousing and conditioning and handling and drying services, among others. The Company's land transformation activities consist of the acquisition of farmlands or businesses with underdeveloped or underutilized agricultural land.",AGRO-US
"{'self': {'href': '/companies/ADS-DE'}, 'curies': [{'name': 'cn', 'href': 'https://api.capitalcube.com/docs/rels/{rel}', 'templated': True}], 'cn:alerts': {'href': '/companies/ADS-DE/alerts'}, 'cn:peers': {'href': '/companies/ADS-DE/peers'}, 'cn:reports': {'href': '/companies/ADS-DE/reports'}, 'cn:stats': {'href': '/companies/ADS-DE/stats'}}",2019-05-07T00:00:00.000Z,250.0,GERMANY,EUR,100,ETR,255.15,178.15,75,2018-12-31T00:00:00.000Z,2019-03-31T00:00:00.000Z,,49792.83625,adidas AG,9.8659635245001,28.172263522174,"['PUM-DE', 'US5-DE', 'ML2-DE', 'TTI-DE']","Adidas AG and its subsidiaries design, develop, produce and market a range of athletic and sports lifestyle products. The Company's segments include Western Europe; North America; Greater China; Russia/CIS; Latin America; Japan; Middle East, South Korea, Southeast Asia/Pacific; TaylorMade-adidas Golf; Runtastic and Other centrally managed business. Each market includes wholesale, retail and e-commerce business activities relating to the distribution and sale of products of the adidas and Reebok brands to retail customers and end consumers. The Company has over 2,800 own-retail stores, over 12,000 mono-branded franchise stores, over 120,000 wholesale doors and over 50 e-commerce sites. adidas and Reebok branded products include footwear, apparel and hardware, such as bags and balls.",ADS-DE
"{'self': {'href': '/companies/8267-JP'}, 'curies': [{'name': 'cn', 'href': 'https://api.capitalcube.com/docs/rels/{rel}', 'templated': True}], 'cn:alerts': {'href': '/companies/8267-JP/alerts'}, 'cn:peers': {'href': '/companies/8267-JP/peers'}, 'cn:reports': {'href': '/companies/8267-JP/reports'}, 'cn:stats': {'href': '/companies/8267-JP/stats'}}",2019-05-07T00:00:00.000Z,2043.5,JAPAN,JPY,100,TYO,2792.0,1998.0,53,2018-02-28T00:00:00.000Z,2018-11-30T00:00:00.000Z,2010-08-31T00:00:00.000Z,1720008.3201575,Aeon Co Ltd,-8.731576596695,-6.0891544117647,"['3382-JP', '3099-JP', '8252-JP', '8251-JP']","AEON CO., LTD. is engaged in retail business, integrated financial business and service business. It operates in eight business segments. The General Merchandise Stores (GMS) segment operates GMSs, supermarkets, convenience stores and department stores. The Supermarket (SM) and Discount Store (DS) segment operates supermarkets and discount stores. The Small Stores segment operates convenience stores, small supermarkets and others. General Financial segment offers credit cards, fee services and banking businesses. Developer segment develops and leases shopping centers. Services and Specialty Stores segment offers facilities management services, amusement services and restaurant services, operates specialty stores that offer women's apparel, family casual fashion clothing and others. International segment operates retail business. The Company also operates digital businesses.",8267-JP
"{'self': {'href': '/companies/AM1-FI'}, 'curies': [{'name': 'cn', 'href': 'https://api.capitalcube.com/docs/rels/{rel}', 'templated': True}], 'cn:alerts': {'href': '/companies/AM1-FI/alerts'}, 'cn:peers': {'href': '/companies/AM1-FI/peers'}, 'cn:reports': {'href': '/companies/AM1-FI/reports'}, 'cn:stats': {'href': '/companies/AM1-FI/stats'}}",2019-05-07T00:00:00.000Z,12.14611056533,FINLAND,USD,100,HEL,14.763320710905,9.5382691792444,31,2018-12-31T00:00:00.000Z,2019-03-31T00:00:00.000Z,,1400.3062970438,Ahlstrom-Munksjo Oyj,-0.14684287812041,-9.663885942175,"['RAKT-EG', 'SAP-ZA', 'NVG-PT', 'NPKZ-ZW']","Ahlstrom-Munksjo Oyj, formerly known as Munksjo Oyj, is a Finland-based company which is engaged in the production of paper and paper products. The Company offers white and coloured decor papers, release papers, paper for industrial use, flexible packaging paper, metalizing paper, electrotechnical paper, beverage packing solutions, filter solutions, thermal base paper, tape backings and other graphic papers, among others. Its materials are used in a range of industries, such as automotive, marine, aerospace, health care and medical, laboratory and life science, food and beverage, interior design and textile. Ahlstrom-Munksjo has its production facilities in Sweden, France, Germany, Spain, Italy and China.",AM1-FI
"{'self': {'href': '/companies/AD-NL'}, 'curies': [{'name': 'cn', 'href': 'https://api.capitalcube.com/docs/rels/{rel}', 'templated': True}], 'cn:alerts': {'href': '/companies/AD-NL/alerts'}, 'cn:peers': {'href': '/companies/AD-NL/peers'}, 'cn:reports': {'href': '/companies/AD-NL/reports'}, 'cn:stats': {'href': '/companies/AD-NL/stats'}}",2019-05-07T00:00:00.000Z,21.22,NETHERLANDS,EUR,100,AMS,24.005,18.6,59,2018-12-31T00:00:00.000Z,2018-12-31T00:00:00.000Z,,23982.844,Koninklijke Ahold Delhaize NV,-8.1584072711534,11.099476439791,"['MGNT-RU', 'MGNT-GB', 'MGROS-TR', 'MRW-GB']","Koninklijke Ahold Delhaize N.V., formerly Koninklijke Ahold N.V., is engaged in the operation of retail stores in Europe and the United States. The Company's segments are Ahold USA, Delhaize America, The Netherlands, Belgium, and Central and Southeastern Europe (CSE). In addition, Other retail, consists of Ahold Delhaize's unconsolidated joint ventures JMR - Gestao de Empresas de Retalho, SGPS, S.A. (JMR) and P.T. Lion Super Indo, LLC (Super Indo), and Ahold Delhaize's Global Support Office. JMR operates food retail stores in Portugal under the brand name Pingo Doce. The Company's Ahold USA segment includes Stop & Shop New England, Stop & Shop New York Metro, Giant Landover, Giant Carlisle and Peapod. The Company's Delhaize America segment includes brands, such as Food Lion and Hannaford. The Food Lion brand's market areas include Delaware, Georgia, Maryland, Pennsylvania, Tennessee, West Virginia, Kentucky, North Carolina, South Carolina and Virginia.",AD-NL
