CompanyId,CompanyName,TickerSymbol,FinancesCurrency,Updated MarketCapitalizationInUsd,MarketCapitalization in Native Currency,Updated AnnualRevenueInUsd,Upaded FinancesCurrentAsOf,Peers,Original MarketCapitalizationInUsd,Original AnnualRevenueInUsd
7,"3ds.com, the 3DEXPERIENCE Company",DSY-FR,USD,33021.754147776,33021.754147776,86.101147776183,2019-04-25T00:00:00.000Z,"['ESI-FR', 'IGE-FR', 'DLT-FR', 'ALEZV-FR']",20404643490,
10,3M,MMM-US,USD,109835.00641792,109835.00641792,176.87,2019-04-25T00:00:00.000Z,"['HON-US', 'DHR-US', 'GE-US', 'ITW-US', 'JNJ-US', 'XRAY-US', 'AMZN-US', 'HPQ-US', 'ALGN-US', 'GLW-US']",114000000000,30110000000
29,AAK AB,AAK-SE,USD,4062.7622356496,4062.7622356496,12.824508400912,2019-04-25T00:00:00.000Z,"['SWMA-SE', 'OEL-DE', 'AJWA-EG', 'UFC-AE']",2961168760,2580931760
45,Abengoa,ABG-ES,USD,41.723438126255,41.723438126255,0.0089670014347202,2019-04-25T00:00:00.000Z,"['ELE-ES', 'REE-ES', 'TRE-ES', 'CFEB-BE']",260536565.5,1639755810
55,Accenture,ACN-US,USD,120651.75905035,120651.75905035,132.63,2019-04-25T00:00:00.000Z,"['CTSH-US', 'IBM-US', 'INFY-US', 'WIT-US', 'EBAY-US', 'ERIC-US', 'NOK-US', 'SAP-US', 'XRX-US', 'G-US']",65450000000,12/30/1899
75,Adecoagro,AGRO-US,USD,791.41319621,791.41319621,6.345,2019-04-25T00:00:00.000Z,"['BG-US', 'SEB-US', 'CRESY-US']",1360000000,839860000
79,Adidas,ADS-DE,EUR,45560.44516875,40682.60127745398,178.15,2019-04-25T00:00:00.000Z,"['PUM-DE', 'US5-DE', 'ML2-DE', 'TTI-DE']",43567551720,20947608990
92,Aeon,8267-JP,JPY,1727583.5953625,191485803.81498656,1998.0,2019-04-25T00:00:00.000Z,"['3382-JP', '3099-JP', '8252-JP', '8251-JP']",12149280000,69014660000
145,Ahlstrom,AM1-FI,USD,1434.9029121592,1434.9029121592,9.5767575322812,2019-04-25T00:00:00.000Z,"['RAKT-EG', 'SAP-ZA', 'NVG-PT', 'NPKZ-ZW']",651254539.3,1161946170
146,Ahold Delhaize,AD-NL,EUR,24016.75,21445.441558162453,18.6,2019-04-25T00:00:00.000Z,"['MGNT-RU', 'MGNT-GB', 'MGROS-TR', 'MRW-GB']",28473110820,12/30/1899
1106,Delhaize Group,AD-NL,EUR,24016.75,21445.441558162453,18.6,2019-04-25T00:00:00.000Z,"['MGNT-RU', 'MGNT-GB', 'MGROS-TR', 'MRW-GB']",10359781740,26496716400
3421,Royal Ahold,AD-NL,EUR,24016.75,21445.441558162453,18.6,2019-04-25T00:00:00.000Z,"['MGNT-RU', 'MGNT-GB', 'MGROS-TR', 'MRW-GB']",18091610460,35585958870
155,Aimia Loyalty Analytics,AIM-CA,USD,469.71453433168,469.71453433168,1.3195937430499,2019-04-25T00:00:00.000Z,"['EQ-CA', 'ADS-US', 'PTS-CA', 'BTV-CA', 'YOO-CA']",959002640,1734666540
158,Air France KLM S.A.,AF-FR,EUR,4467.2460052,3988.968662722944,6.646,2019-04-25T00:00:00.000Z,"['LHA-DE', 'AB1-DE', 'FIA1S-FI']",2302173720,26974526040
164,Ajinomoto,2802-JP,JPY,983840.62008,109049143.8258438,1624.5,2019-04-25T00:00:00.000Z,"['2812-JP', '2810-JP', '2801-JP', '2806-JP', '2809-JP', '2917-JP', 'INDF-ID', '600866-CN']",10714990000,9196330000
167,AKITA,8343-JP,JPY,39886.735372,4421055.863673239,2040.0,2019-04-25T00:00:00.000Z,"['8336-JP', '8304-JP', '8342-JP', '8386-JP', '8393-JP']",623831780,12/30/1899
210,Alliant Energy Corporation,LN-US,USD,8064.97581093,8064.97581093,27.66,2019-04-25T00:00:00.000Z,"['PBYA-US', 'PAXH-US', 'PERI-US', 'PIKL-US']",8780000000,3250000000
216,Almacenes Exito,EXITO-CO,USD,2175356.97576,2175356.97576,3973.3333333333,2019-04-25T00:00:00.000Z,"['INRETC1-PE', 'SUPERC1-PE', 'CHDRAUIB-MX', 'CENCOSUD-CL']",1994700000,10187000000
242,Amcor,AMC-AU,AUD,18478.20029,26434.435828613387,12.665,2019-04-25T00:00:00.000Z,"['PPG-AU', 'ORA-AU', 'AJL-AU']",12452984640,8105326720
260,Anadalu Efes,AEFES-TR,USD,2033.3594753428,2033.3594753428,2.9793032961418,2019-04-25T00:00:00.000Z,"['TBORG-TR', 'TATGD-TR', 'ZWC-PL', 'RBREW-DK']",3957631920,3471256280
269,Anglo-Eastern Plantations,AEP-GB,GBP,209.28004416,159.72109450222516,5.04,2019-04-25T00:00:00.000Z,"['MPE-GB', 'PAL-GB', 'SIP-BE', 'DKL-GB']",437852530.6,262803694.8
270,Anheuser-Busch InBev,BUD-US,USD,141287.28613512,141287.28613512,64.545,2019-04-25T00:00:00.000Z,"['HEINY-US', 'SAM-US', 'CCU-US', 'KNBWY-US', 'DEO-US', 'TAP-US']",190863232560,42698806920
295,Apple Inc,AAPL-US,USD,974135.30144,974135.30144,142.0,2019-04-25T00:00:00.000Z,"['HPQ-US', 'MSFT-US', 'IBM-US', 'GOOGL-US']",729220000000,214230000000
302,Arata,2733-JP,USD,617.16323437639,617.16323437639,33.654274761523,2019-04-25T00:00:00.000Z,"['8283-JP', '7506-JP', '9852-JP', '7444-JP']",326765010,5389471230
4430,Arata,2733-JP,USD,617.16323437639,617.16323437639,33.654274761523,2019-04-25T00:00:00.000Z,"['8283-JP', '7506-JP', '9852-JP', '7444-JP']",,
310,Archer Daniels Midland,ADM-US,USD,23366.97912276,23366.97912276,39.16,2019-04-25T00:00:00.000Z,"['BG-US', 'INGR-US', 'BRFS3-BR', 'THS-US', 'MGPI-US', 'BRFS-US', 'CZZ-US', 'BRK.A-US', 'TSN-US', 'SEB-US']",23690000000,62420000000
313,Arcos Dorados Holdings,ARCO-US,USD,893.51696567,893.51696567,6.05,2019-04-25T00:00:00.000Z,"['TAST-US', 'WEN-US', 'YUM-US', 'MCD-US', 'GTIM-US', 'JACK-US']",1910000000,2930000000
341,Asahi Group Holdings,2502-JP,USD,19798.255268681,19798.255268681,35.86520460016,2019-04-25T00:00:00.000Z,"['2501-JP', '2503-JP', '2531-JP', '2579-JP']",17548960000,14427270000
357,Asics,7936-JP,USD,2141.2124533832,2141.2124533832,11.536061335473,2019-04-25T00:00:00.000Z,"['8022-JP', '8135-JP', '7990-JP', '7906-JP']",4106372270,3615254500
361,ASOS,ASC-GB,GBP,3405.130970797,2598.772605205099,21.14,2019-04-25T00:00:00.000Z,"['BOO-GB', 'OCDO-GB', 'KOOV-GB']",8627139430,2770478365
370,Associated British Foods,ABF-GB,USD,15607.630921388,15607.630921388,0.2106976744186,2019-04-25T00:00:00.000Z,"['TATE-GB', 'RGD-GB', 'PFD-GB', 'ULVR-GB', 'SZU-DE', 'UNA-NL', 'KRZ-IE']",30216591860,19299443800
375,Astra Agro Lestari,AALI-ID,USD,1474448.7408161,1474448.7408161,721.42857142857,2019-04-25T00:00:00.000Z,"['MAGP-ID', 'SSMS-ID', 'TBLA-ID', 'GZCO-ID']",2051280000,1016640000
383,Atria Group,ATRAV-FI,USD,152.61196762912,152.61196762912,5.7568149210904,2019-04-25T00:00:00.000Z,"['HKSAV-FI', 'FLE-FR', 'TERB-BE', 'BELL-CH']",392922413.7,1466006850
390,Austindo Nusantara Jaya,ANJT-ID,USD,3112815.06472,3112815.06472,830.0,2019-04-25T00:00:00.000Z,"['LSIP-ID', 'SMAR-ID', 'BTEK-ID', '508670-IN']",0,108000000
395,Autodesk\A0,ADSK-US,USD,38488.91406912,38488.91406912,117.72,2019-04-25T00:00:00.000Z,"['ADBE-US', 'SNPS-US', 'RHT-US', 'NUAN-US', 'ANSS-US', 'PTC-US', 'TRMB-US', 'DDD-US', 'FFIV-US', 'AAPL-US']",13270000000,2460000000
403,Avon,AVP-US,USD,1354.06335384,1354.06335384,1.3,2019-04-25T00:00:00.000Z,"['EL-US', 'REV-US', 'CL-US', 'COTY-US', 'NUS-US', 'PG-US', 'KMB-US', 'UL-US', 'FOSL-US', 'NATU3-BR']",1850000000,5720000000
406,AXA Group,CS-FR,USD,50649.460246054,50649.460246054,16.497489239598,2019-04-25T00:00:00.000Z,"['CNP-FR', 'TLX-DE', 'VIG-AT', 'UQA-AT']",185034240,346256640
410,Axfood,AXFO-SE,SEK,37321.4829428,357445.0948720086,144.15,2019-04-25T00:00:00.000Z,"['ICA-SE', 'MSH-DE', 'CO-FR', 'RMLI-IL']",3518420708,5072946560
441,Bakrie Sumatera Plantations,UNSP-ID,USD,20537.047825714,20537.047825714,7.0,2019-04-25T00:00:00.000Z,"['AALI-ID', 'GZCO-ID', 'LSIP-ID', 'SGRO-ID', 'MAQ-AU']",0,0
460,Barclay's,BARC-GB,USD,21431.242716949,21431.242716949,1.1239837209302,2019-04-25T00:00:00.000Z,"['RBS-GB', 'HSBA-GB', 'LLOY-GB', 'CBG-GB', 'DBK-DE']",46721937080,12/30/1899
467,Barry Callebaut Group,BARN-CH,CHF,9957.544146,10138.929894895406,1504.0,2019-04-25T00:00:00.000Z,"['NESN-CH', 'LISN-CH', 'HOCN-CH', 'ORON-CH', 'EMMN-CH', 'BELL-CH', 'ARYN-CH', 'VALN-CH']",7353202350,6628797800
469,BASF,BAS-DE,EUR,66828.50977544,59673.640305548695,57.35,2019-04-25T00:00:00.000Z,"['AI-FR', 'LXS-DE', 'TESB-BE', 'WCH-DE']",81564277410,62495329050
477,Bayer,BAYN-DE,USD,51042.837053945,51042.837053945,48.852223816356,2019-04-25T00:00:00.000Z,"['GSK-GB', 'SAN-FR', 'NOVN-CH', 'RO-CH']",30775284540,50788992870
487,Beiersdorf,BEI-DE,USD,19065.648816499,19065.648816499,72.274031563845,2019-04-25T00:00:00.000Z,"['OR-FR', 'SUY1V-FI', 'MLPFX-FR', 'CRL-GB']",24107668200,7330034250
488,Beijing Hualian Group,000882-CN,USD,1230.0508696922,1230.0508696922,0.30651569032988,2019-04-25T00:00:00.000Z,"['600694-CN', '600697-CN', '600828-CN', '600838-CN', '600682-CN', '600821-CN', '600858-CN', '000501-CN', '000564-CN']",1464317920,172004080
491,BEL Group,FBEL-FR,USD,1838.3770677905,1838.3770677905,251.07604017217,2019-04-25T00:00:00.000Z,"['UNBL-FR', 'FLE-FR', 'BN-FR']",3627009540,3192637140
524,Best Buy,BBY-US,USD,19761.28579052,19761.28579052,47.72,2019-04-25T00:00:00.000Z,"['CONN-US', 'GME-US', 'AAN-US', 'AMZN-US', 'AAPL-US', 'SNE-US', 'VVAR3-BR', 'VOXX-US']",10100000000,39530000000
527,Better Life Commercial Chain,002251-CN,CNY,7844.24787508,53073.1766895992,6.75,2019-04-25T00:00:00.000Z,"['600361-CN', '000759-CN', '600861-CN', '600827-CN']",155260320,2341082080
533,BIC,BB-FR,EUR,3447.272835,3078.197013252563,71.8,2019-04-25T00:00:00.000Z,"['DPT-FR', 'ALMAS-FR', 'ALFPC-FR', 'BEN-FR']",6113791530,2204439930
