Currency,ExRate
NOK,8.7041863786
HRK,6.6272427028
HUF,289.4581808444
CAD,1.3424082835
JPY,109.6224225654
RON,4.2506471481
THB,31.5951084531
PLN,3.834865661
IDR,14450.0044630902
DKK,6.6658930644
GBP,0.780710524
CHF,1.0091939659
CZK,22.9367133803
ILS,3.5677943408
MYR,4.1645095064
ZAR,14.1529054717
AUD,1.4472016424
MXN,19.0271355887
BRL,3.9975006695
SGD,1.3692760868
EUR,0.8926180487
NZD,1.5230741766
BGN,1.7457823797
CNY,6.8791395162
USD,1.0
RUB,64.5261090779
HKD,7.8491475498
INR,70.0428456663
TRY,6.0236543783
PHP,52.4832634116
ISK,122.288672677
SEK,9.6036775864
KRW,1189.1189859859
