Currency,ExRate
PLN,3.834865661
INR,70.0428456663
PHP,52.4832634116
JPY,109.6224225654
CAD,1.3424082835
RON,4.2506471481
NOK,8.7041863786
CZK,22.9367133803
SEK,9.6036775864
GBP,0.780710524
EUR,0.8926180487
CHF,1.0091939659
KRW,1189.1189859859
NZD,1.5230741766
THB,31.5951084531
AUD,1.4472016424
ISK,122.288672677
RUB,64.5261090779
BRL,3.9975006695
TRY,6.0236543783
ILS,3.5677943408
SGD,1.3692760868
DKK,6.6658930644
USD,1.0
IDR,14450.0044630902
ZAR,14.1529054717
HKD,7.8491475498
HRK,6.6272427028
MYR,4.1645095064
CNY,6.8791395162
BGN,1.7457823797
MXN,19.0271355887
HUF,289.4581808444
