CompanyId,CompanyName,TickerSymbol,FinancesCurrency,Updated MarketCapitalizationInUsd,MarketCapitalization in Native Currency,Upaded FinancesCurrentAsOf,Peers,Original MarketCapitalizationInUsd
7,"3ds.com, the 3DEXPERIENCE Company",DSY-FR,EUR,34692339531.35,30967008417.31,2019-05-15T00:00:00.000Z,"['ESI-FR', 'IGE-FR', 'DLT-FR', 'ALEZV-FR']",20404643490
10,3M,MMM-US,USD,100367418048.72,100367418048.72,2019-05-15T00:00:00.000Z,"['HON-US', 'DHR-US', 'GE-US', 'ITW-US', 'JNJ-US', 'XRAY-US', 'AMZN-US', 'HPQ-US', 'ALGN-US', 'GLW-US']",114000000000
29,AAK AB,AAK-SE,SEK,42385763550.0,407059207387.59,2019-05-15T00:00:00.000Z,"['SWMA-SE', 'OEL-DE', 'AJWA-EG', 'UFC-AE']",2961168760
45,Abengoa,ABG-ES,USD,31438550.83,31438550.83,2019-05-15T00:00:00.000Z,"['ELE-ES', 'REE-ES', 'TRE-ES', 'CFEB-BE']",260536565.5
55,Accenture,ACN-US,USD,117601103292.2,117601103292.2,2019-05-15T00:00:00.000Z,"['CTSH-US', 'IBM-US', 'INFY-US', 'WIT-US', 'EBAY-US', 'ERIC-US', 'NOK-US', 'SAP-US', 'XRX-US', 'G-US']",65450000000
75,Adecoagro,AGRO-US,USD,769267613.4,769267613.4,2019-05-15T00:00:00.000Z,"['BG-US', 'SEB-US', 'CRESY-US']",1360000000
79,Adidas,ADS-DE,USD,44997114540.3,44997114540.3,2019-05-15T00:00:00.000Z,"['PUM-DE', 'US5-DE', 'ML2-DE', 'TTI-DE']",43567551720
92,Aeon,8267-JP,USD,15126587499.11,15126587499.11,2019-05-15T00:00:00.000Z,"['3382-JP', '3099-JP', '8252-JP', '8251-JP']",12149280000
145,Ahlstrom,AM1-FI,USD,1356334741.18,1356334741.18,2019-05-15T00:00:00.000Z,"['RAKT-EG', 'SAP-ZA', 'NVG-PT', 'NPKZ-ZW']",651254539.3
146,Ahold Delhaize,AD-NL,USD,20702150363.09,20702150363.09,2019-05-15T00:00:00.000Z,"['MGNT-RU', 'MGNT-GB', 'MGROS-TR', 'MRW-GB']",28473110820
1106,Delhaize Group,AD-NL,USD,20702150363.09,20702150363.09,2019-05-15T00:00:00.000Z,"['MGNT-RU', 'MGNT-GB', 'MGROS-TR', 'MRW-GB']",10359781740
3421,Royal Ahold,AD-NL,USD,20702150363.09,20702150363.09,2019-05-15T00:00:00.000Z,"['MGNT-RU', 'MGNT-GB', 'MGROS-TR', 'MRW-GB']",18091610460
155,Aimia Loyalty Analytics,AIM-CA,USD,470761524.15,470761524.15,2019-05-15T00:00:00.000Z,"['EQ-CA', 'BTV-CA', 'PTS-CA', 'YOO-CA', 'ADS-US']",959002640
158,Air France KLM S.A.,AF-FR,USD,3164087872.49,3164087872.49,2019-05-15T00:00:00.000Z,"['LHA-DE', 'AB1-DE', 'FIA1S-FI']",2302173720
164,Ajinomoto,2802-JP,USD,9500097161.96,9500097161.96,2019-05-15T00:00:00.000Z,"['2812-JP', '2810-JP', '2801-JP', '2806-JP', '2809-JP', '2917-JP', 'INDF-ID', '600866-CN']",10714990000
167,AKITA,8343-JP,JPY,35578537132.0,3900205431742.88,2019-05-15T00:00:00.000Z,"['8336-JP', '8304-JP', '8342-JP', '8386-JP', '8393-JP']",623831780
210,Alliant Energy Corporation,LN-US,USD,7957684151.92,7957684151.92,2019-05-15T00:00:00.000Z,"['PERI-US', 'PBYA-US', 'PIKL-US', 'PINS-US']",8780000000
216,Almacenes Exito,EXITO-CO,USD,2160436831893.3,2160436831893.3,2019-05-15T00:00:00.000Z,"['INRETC1-PE', 'SUPERC1-PE', 'CHDRAUIB-MX', 'CENCOSUD-CL']",1994700000
242,Amcor,AMC-AU,USD,18975734800.0,18975734800.0,2019-05-15T00:00:00.000Z,"['PPG-AU', 'ORA-AU', 'AJL-AU']",12452984640
260,Anadalu Efes,AEFES-TR,USD,1744404678.92,1744404678.92,2019-05-15T00:00:00.000Z,"['TBORG-TR', 'TATGD-TR', 'ZWC-PL', 'RBREW-DK']",3957631920
269,Anglo-Eastern Plantations,AEP-GB,GBP,187083675.84,146058194.6,2019-05-15T00:00:00.000Z,"['MPE-GB', 'PAL-GB', 'SIP-BE', 'DKL-GB']",437852530.6
270,Anheuser-Busch InBev,BUD-US,USD,136704907625.89,136704907625.89,2019-05-15T00:00:00.000Z,"['HEINY-US', 'SAM-US', 'CCU-US', 'KNBWY-US', 'DEO-US', 'TAP-US']",190863232560
295,Apple Inc,AAPL-US,USD,878437239000.0,878437239000.0,2019-05-15T00:00:00.000Z,"['HPQ-US', 'MSFT-US', 'IBM-US', 'GOOGL-US']",729220000000
302,Arata,2733-JP,USD,672050903.91,672050903.91,2019-05-15T00:00:00.000Z,"['8283-JP', '7506-JP', '9852-JP', '7444-JP']",326765010
4430,Arata,2733-JP,USD,672050903.91,672050903.91,2019-05-15T00:00:00.000Z,"['8283-JP', '7506-JP', '9852-JP', '7444-JP']",
310,Archer Daniels Midland,ADM-US,USD,22955569732.08,22955569732.08,2019-05-15T00:00:00.000Z,"['BG-US', 'INGR-US', 'BRFS3-BR', 'THS-US', 'MGPI-US', 'BRFS-US', 'CZZ-US', 'BRK.A-US', 'TSN-US', 'SEB-US']",23690000000
313,Arcos Dorados Holdings,ARCO-US,USD,848775320.85,848775320.85,2019-05-15T00:00:00.000Z,"['TAST-US', 'WEN-US', 'YUM-US', 'MCD-US', 'GTIM-US', 'JACK-US']",1910000000
341,Asahi Group Holdings,2502-JP,USD,19955005131.2,19955005131.2,2019-05-15T00:00:00.000Z,"['2501-JP', '2503-JP', '2531-JP', '2579-JP']",17548960000
357,Asics,7936-JP,JPY,248524209747.0,27243825938617.73,2019-05-15T00:00:00.000Z,"['8022-JP', '8135-JP', '7990-JP', '7906-JP']",4106372270
361,ASOS,ASC-GB,USD,2407831061.55,2407831061.55,2019-05-15T00:00:00.000Z,"['BOO-GB', 'OCDO-GB', 'KOOV-GB']",8627139430
370,Associated British Foods,ABF-GB,USD,15558630874.83,15558630874.83,2019-05-15T00:00:00.000Z,"['TATE-GB', 'RGD-GB', 'PFD-GB', 'ULVR-GB', 'UNA-NL', 'KRZ-IE', 'SZU-DE']",30216591860
375,Astra Agro Lestari,AALI-ID,USD,1398835984876.8,1398835984876.8,2019-05-15T00:00:00.000Z,"['MAGP-ID', 'SSMS-ID', 'TBLA-ID', 'GZCO-ID']",2051280000
383,Atria Group,ATRAV-FI,USD,124172875.93,124172875.93,2019-05-15T00:00:00.000Z,"['HKSAV-FI', 'FLE-FR', 'TERB-BE', 'BELL-CH']",392922413.7
390,Austindo Nusantara Jaya,ANJT-ID,USD,3030027430020.0,3030027430020.0,2019-05-15T00:00:00.000Z,"['LSIP-ID', 'SMAR-ID', 'BTEK-ID', '508670-IN']",0
395,Autodesk\A0,ADSK-US,USD,38159413768.0,38159413768.0,2019-05-15T00:00:00.000Z,"['ADBE-US', 'SNPS-US', 'RHT-US', 'NUAN-US', 'ANSS-US', 'PTC-US', 'TRMB-US', 'DDD-US', 'FFIV-US', 'AAPL-US']",13270000000
403,Avon,AVP-US,USD,1433151000.0,1433151000.0,2019-05-15T00:00:00.000Z,"['EL-US', 'REV-US', 'CL-US', 'COTY-US', 'NUS-US', 'PG-US', 'KMB-US', 'UL-US', 'FOSL-US', 'NATU3-BR']",1850000000
406,AXA Group,CS-FR,EUR,53016572387.64,47323549393.42,2019-05-15T00:00:00.000Z,"['CNP-FR', 'TLX-DE', 'VIG-AT', 'UQA-AT']",185034240
410,Axfood,AXFO-SE,USD,4002395796.42,4002395796.42,2019-05-15T00:00:00.000Z,"['ICA-SE', 'MSH-DE', 'CO-FR', 'RMLI-IL']",3518420708
441,Bakrie Sumatera Plantations,UNSP-ID,USD,18215468506.29,18215468506.29,2019-05-15T00:00:00.000Z,"['AALI-ID', 'GZCO-ID', 'LSIP-ID', 'SGRO-ID', 'MAQ-AU']",0
460,Barclay's,BARC-GB,USD,21377502996.9,21377502996.9,2019-05-15T00:00:00.000Z,"['RBS-GB', 'HSBA-GB', 'LLOY-GB', 'CBG-GB', 'DBK-DE']",46721937080
467,Barry Callebaut Group,BARN-CH,CHF,10116382859.0,10209392538.04,2019-05-15T00:00:00.000Z,"['NESN-CH', 'LISN-CH', 'HOCN-CH', 'ORON-CH', 'EMMN-CH', 'BELL-CH', 'ARYN-CH', 'VALN-CH']",7353202350
469,BASF,BAS-DE,EUR,58387690577.58,52117906431.46,2019-05-15T00:00:00.000Z,"['AI-FR', 'LXS-DE', 'TESB-BE', 'WCH-DE']",81564277410
477,Bayer,BAYN-DE,EUR,52642558367.8,46989697728.84,2019-05-15T00:00:00.000Z,"['GSK-GB', 'SAN-FR', 'NOVN-CH', 'RO-CH']",30775284540
487,Beiersdorf,BEI-DE,EUR,22727262196.8,20286764434.4,2019-05-15T00:00:00.000Z,"['OR-FR', 'SUY1V-FI', 'CRL-GB', 'ILE-ZA']",24107668200
488,Beijing Hualian Group,000882-CN,CNY,7445597295.84,51219302579.52,2019-05-15T00:00:00.000Z,"['600694-CN', '600697-CN', '600828-CN', '600838-CN', '600682-CN', '600821-CN', '600858-CN', '000501-CN', '000564-CN']",1464317920
491,BEL Group,FBEL-FR,USD,1854246646.43,1854246646.43,2019-05-15T00:00:00.000Z,"['UNBL-FR', 'FLE-FR', 'BN-FR']",3627009540
524,Best Buy,BBY-US,USD,18180800728.74,18180800728.74,2019-05-15T00:00:00.000Z,"['CONN-US', 'GME-US', 'AAN-US', 'AMZN-US', 'AAPL-US', 'SNE-US', 'VVAR3-BR', 'VOXX-US']",10100000000
527,Better Life Commercial Chain,002251-CN,CNY,7369099849.03,50693065970.29,2019-05-15T00:00:00.000Z,"['600361-CN', '000759-CN', '600861-CN', '600827-CN']",155260320
533,BIC,BB-FR,EUR,3395451086.5,3030840923.29,2019-05-15T00:00:00.000Z,"['DPT-FR', 'ALMAS-FR', 'ALFPC-FR', 'BEN-FR']",6113791530
543,BillerudKorsnas,BILL-SE,USD,2584242381.14,2584242381.14,2019-05-15T00:00:00.000Z,"['RROS-SE', 'DUNI-SE', 'BONG-SE']",3091034320
579,BMW Group,BMW-DE,EUR,42139663720.0,37614624402.62,2019-05-15T00:00:00.000Z,"['DAI-DE', 'NSU-DE', 'VOW-DE']",
592,Bongrain - Name changed to Groupe Savencia,SAVE-FR,USD,806022923.86,806022923.86,2019-05-15T00:00:00.000Z,"['UNBL-FR', 'EMMN-CH', 'FBEL-FR', 'SMB-DE']",900130000
612,Boustead Plantations Berhad,MHC-MY,USD,29700815.81,29700815.81,2019-05-15T00:00:00.000Z,"['KGAL.N00-LK', 'MADU.N00-LK', 'HRC-VN', 'HARRMALA-IN']",
615,Bouygues\A0Group,EN-FR,EUR,12258681751.88,10942320585.0,2019-05-15T00:00:00.000Z,"['FGR-FR', 'DG-FR', 'RE-FR', 'GBF-DE', 'HOT-DE']",17657238060
626,Brambles,BXB-AU,AUD,19695839417.76,28503851153.83,2019-05-15T00:00:00.000Z,"['EAX-AU', 'CGL-AU', 'EGG-AU', 'SRV-AU']",10675993600
634,BRF,BRFS-US,BRL,6345274910.78,25365240704.0,2019-05-15T00:00:00.000Z,"['TSN-US', 'HRL-US', 'SEB-US', 'SAFM-US', 'BRID-US', 'UL-US', 'BG-US']",12700000000
664,Bumitama Agri,P8Z-SG,USD,882397110.4,882397110.4,2019-05-15T00:00:00.000Z,"['E5H-SG', 'EB5-SG', '5JS-SG', 'F34-SG']",
666,Bunge,BG-US,USD,7536522086.38,7536522086.38,2019-05-15T00:00:00.000Z,"['ADM-US', 'INGR-US', 'MOS-US', 'AGRO-US', 'CZZ-US', 'SEB-US']",11440000000
670,Burberry,BRBY-GB,USD,6126920616.29,6126920616.29,2019-05-15T00:00:00.000Z,"['NXT-GB', 'MUL-GB', 'ALY-GB', 'MKS-GB']",10917148060
671,Bureau Veritas Certification,BVI-FR,USD,8463035953.54,8463035953.54,2019-05-15T00:00:00.000Z,"['ALTRA-FR', 'INSE-GB', 'SEMC-SE', 'POY1V-FI']",8796041100
705,Campbell's,CPB-US,USD,11737579717.96,11737579717.96,2019-05-15T00:00:00.000Z,"['THS-US', 'HAIN-US', 'MDLZ-US', 'CAG-US', 'TSN-US', 'FLO-US', 'UL-US', 'MKC-US']",13100000000
715,CAPGEMINI,CAP-FR,USD,15535648864.41,15535648864.41,2019-05-15T00:00:00.000Z,"['ATO-FR', 'PTY-GB', 'CAS-FR', 'DVT-FR']",14801239530
840,CHS (CHSCP),CHS-US,USD,465488599.25,465488599.25,2019-05-15T00:00:00.000Z,"['LB-US', 'ASNA-US', 'CATO-US', 'FRAN-US', 'CACH-US']",226610510
858,Clariant,CLN-CH,CHF,6222871098.13,6280083962.8,2019-05-15T00:00:00.000Z,"['AKZA-NL', 'EMSN-CH', 'VLS-GB', 'BRG-NO']",5308992250
888,Colruyt Group,COLR-BE,USD,7347052748.19,7347052748.19,2019-05-15T00:00:00.000Z,"['FNTS-FR', 'MSH-DE', 'CO-FR', 'HAGA-IS']",7319174940
1322,Etablissements Fr. Colruyt,COLR-BE,USD,7347052748.19,7347052748.19,2019-05-15T00:00:00.000Z,"['FNTS-FR', 'MSH-DE', 'CO-FR', 'HAGA-IS']",8329090770
897,Companhia Brasileira de Distribuicao GPA,PCAR3-BR,USD,2344969178.51,2344969178.51,2019-05-15T00:00:00.000Z,"['KR-US', 'WMK-US', 'IMKTA-US', 'SUPERC1-PE']",4798900400
902,Compass Group,CPG-GB,USD,21870971369.45,21870971369.45,2019-05-15T00:00:00.000Z,"['DOC-AT', 'RTN-GB', 'MAB-GB', 'SW-FR']",35415919630
906,ConAgra Foods Conagra Brands Inc,CAG-US,USD,14091525604.0,14091525604.0,2019-05-15T00:00:00.000Z,"['GIS-US', 'THS-US', 'SJM-US', 'MDLZ-US', 'LANC-US', 'HAIN-US', 'PEP-US', 'DF-US']",13520000000
967,CostCo,COST-US,USD,107625502480.19,107625502480.19,2019-05-15T00:00:00.000Z,"['PSMT-US', 'WMT-US', 'DLTR-US', 'TGT-US', 'DG-US', 'BIG-US', 'JSAIY-US', 'FIVE-US']",69550000000
973,Coway Co Ltd\A0,021240-KR,KRW,5521823167500.0,6566104765731051.0,2019-05-15T00:00:00.000Z,"['600690-CN', '5947-JP', '002700-KR', '066570-KR']",6705920000
979,Cranswick,CWK-GB,USD,1133676090.75,1133676090.75,2019-05-15T00:00:00.000Z,"['PFD-GB', 'ABF-GB', 'HFG-GB']",1598685270
991,Croda International,CRDA-GB,GBP,6567938573.75,5127658765.51,2019-05-15T00:00:00.000Z,"['ELM-GB', 'IMCD-NL', 'EMSN-CH', 'BRG-NO']",5573794590
1040,Daewoo International Corporation,047050-KR,USD,2152891847950.0,2152891847950.0,2019-05-15T00:00:00.000Z,"['005490-KR', '078930-KR', '001250-KR', '012030-KR']",2471040000
1044,Dai Nippon Printing Co.,7912-JP,USD,6901723880.88,6901723880.88,2019-05-15T00:00:00.000Z,"['7914-JP', '7946-JP', '7911-JP', '7831-JP']",6882820230
1047,Dairy Farm International,D01-SG,USD,10145271210.0,10145271210.0,2019-05-15T00:00:00.000Z,"['HERO-ID', '2912-TW', 'RANC-ID', '601933-CN']",11620000000
1051,Daito Trust Construction Co.,1878-JP,JPY,946057805550.0,103709148531297.1,2019-05-15T00:00:00.000Z,"['1925-JP', '3231-JP', '1764-JP', '6059-JP']",11474320000
1052,Daiwa House Industry Co.,1925-JP,USD,18934598857.05,18934598857.05,2019-05-15T00:00:00.000Z,"['1928-JP', '9303-JP', '9635-JP', '3521-JP']",18223920000
1068,Danone,BN-FR,USD,40478408544.68,40478408544.68,2019-05-15T00:00:00.000Z,"['FBEL-FR', 'UNA-NL', 'NESN-CH']",42774822090
1074,"Darden Restaurants, Inc.",DRI-US,USD,14875153009.92,14875153009.92,2019-05-15T00:00:00.000Z,"['BJRI-US', 'CBRL-US', 'BLMN-US', 'DIN-US', 'DFRG-US', 'RUTH-US']",8920000000
1124,Deutsche Post DHL Group,DPW-DE,USD,31826277362.31,31826277362.31,2019-05-15T00:00:00.000Z,"['POST-AT', 'PNL-NL', 'ARMX-AE', 'LHA-DE']",42829118640
1130,Dharma Satya Nusantara,DSNG-ID,USD,274907000571.43,274907000571.43,2019-05-15T00:00:00.000Z,"['SULI-ID', '723-HK', '8163-HK', 'BRPT-ID']",0
1132,Diageo,DGE-GB,USD,61138264380.01,61138264380.01,2019-05-15T00:00:00.000Z,"['CPR-IT', 'DIS-GB', 'STCK-GB', 'FSTA-GB', 'RI-FR', 'DGE-GB', 'HEIA-NL']",87826871860
1159,Domino's,DPZ-US,USD,11372218503.03,11372218503.03,2019-05-15T00:00:00.000Z,"['YUM-US', 'PZZA-US', 'WEN-US', 'JACK-US', 'MCD-US', 'CMG-US', 'DENN-US', 'FRSH-US']",9970000000
1161,Domtar Corporation,UFS-CA,USD,3830835726.12,3830835726.12,2019-05-15T00:00:00.000Z,"['CFX-CA', 'CFP-CA', 'CAS-CA', 'KPT-CA']",3200000000
1162,Orsted,ORSTED-DK,USD,32450761399.3,32450761399.3,2019-05-15T00:00:00.000Z,"['00000747-LU', 'NVNG-RU', 'ODEN-UA', 'NNSB-RU']",16015821140
1178,Drax Group,DRX-GB,GBP,1337632093.43,1044303452.58,2019-05-15T00:00:00.000Z,"['SSE-GB', 'RUR-GB', 'OPG-GB', 'GOOD-GB']",1814723820
