CompanyId,CompanyName,TickerSymbol,FinancesCurrency,MarketCapitalizationInUsd,FinancesCurrentAsOf
7,"3ds.com, the 3DEXPERIENCE Company",DSY-FR,EUR,20404643490,12/29/2015
10,3M,MMM-US,USD,114000000000,2018
242,Amcor,AMC-AU,AUD,12452984640,2018
467,Barry Callebaut Group,BARN-CH,CHF,7353202350,11/05/2018
469,BASF,BAS-DE,EUR,81564277410,10/26/2018
477,Bayer,BAYN-DE,EUR,30775284540,11/13/2018
1302,Equatorial Palm Oil,PAL-GB,EUR,11119933.44,9/30/2018
1914,Holmen,,SEK,4449357880,2/2/2018
1919,Home Retail Group,,GBP,,9/7/2016
2147,JAPAN TRANSCITY,9310-JP,JPY,200547490,2/22/2016
2290,Kokuyo Co.,7984-JP,JPY,1405519830,07/30/2018
2601,Mega Retail,,USD,21200000,3/24/2016
2604,Megmilk Snow Brand,2270-JP,JPY,2002690690,5/29/2017
2748,Nankai Electric Railway Co.,9044-JP,JPY,2674191520,6/28/2016
3069,Philips,PHIA-NL,EUR,31111923150,2/7/2018
3498,Sanoma,SAA1V-FI,EUR,1357413750,11/8/2016
3501,Santander,SAN-ES,EUR,97842383100,2/2/2015
3675,SIPEF,SIP-BE,EUR,721470837.8,2017
3874,Suzano Pulp & Paper,SUZB3-BR,BRL,9150068340,3/29/2018
4133,United Cacao,,GBP,33140313.57,3/29/2018
4137,United Plantations,UTDPLT-MY,,,
4362,Yamazaki Baking,2212-JP,JPY,4430690550,6/7/2017
310,Archer Daniels Midland,ADM-US,USD,23690000000,2017
313,Arcos Dorados Holdings,ARCO-US,USD,1910000000,8/8/2018
524,Best Buy,BBY-US,USD,10100000000,11/20/2018
527,Better Life Commercial Chain,002251-CN,CNY,155260320,8/29/2016
533,BIC,BB-FR,EUR,6113791530,2018
748,Catalyst Paper,,CAD,9223348.92,11/8/2016
1074,"Darden Restaurants, Inc.",DRI-US,USD,8920000000,11/18/2016
1444,First Pacific Company Limited,142-HK,HKD,3237872220,4/19/2017
1445,First Resources,EB5-SG,,,8/9/2017
1621,Givaudan,GIVN-CH,CHF,19707773100,3/23/2018
1819,Hap Seng Plantations Holdings,HSPLANT-MY,,,8/9/2017
2020,Inditex,ITX-ES,EUR,98420098392,1/30/2018
2022,Indofood Agri Resources,5JS-SG,SGD,480506993.2,10/31/2018
2024,Indofood Sukses Makmur,INDF-ID,IDR,5025600000,4/19/2017
2246,Kerry Group,KRZ-IE,EUR,14171399550,3/10/2017
2248,Kesko Group,KESKOB-FI,EUR,4669503300,5/5/2017
2441,Lindt & Spr\FCngli,LISN-CH,CHF,14716328050,4/26/2017
2444,Lion Corporation,4912-JP,JPY,5077555340,4/26/2017
2451,Lloyd's Banking Group,LLOY-GB,EUR,42677088300,7/22/2015
2606,Meiji Holdings,2269-JP,JPY,12149280000,8/30/2016
2652,Minerva,BEEF3-BR,BRL,598625720,3/20/2017
2801,New Britain Palm Oil,,,,2/12/2018
2812,News Corp,NWS-US,USD,7650000000,3/30/2017
3421,Royal Ahold,AD-NL,EUR,18091610460,3/9/2016
3425,Royal DSM,DSM-NL,EUR,10957043790,11/7/2016
3426,Royal Dutch Shell,RDSA-NL,EUR - Euro,181502507340,2017
3666,Sinar Mas Agro Resources and Technology (SMART),SMAR-ID,IDR,715680000,08/08/2018
3667,Sinar Mas Group,SMMA-ID,IDR,3679200000,4/25/2017
4118,Unicharm Corporation,8113-JP,JPY,14933490000,9/17/2018
4330,Wolverine World Wide,WWW-US,USD,2290000000,11/30/2016
4336,Woolworths Group,WOW-AU,AUD,23339688640,6/29/2017
4337,Woolworths Holdings,WHL-ZA,ZAR,4007274590,9/16/2018
29,AAK AB,AAK-SE,SEK,2961168760,8/28/2017
30,AAK Kamani,,,,
35,AB Agri,,,,
38,AB Mauri,,,,
487,Beiersdorf,BEI-DE,EUR,24107668200,3/28/2017
488,Beijing Hualian Group,000882-CN,CNY,1464317920,08/31/2018
491,BEL Group,FBEL-FR,EUR,3627009540,1/30/2019
698,California Oils Corporation,,,,
888,Colruyt Group,COLR-BE,EUR,7319174940,3/7/2017
897,Companhia Brasileira de Distribuicao GPA,PCAR3-BR,BRL,4798900400,6/21/2017
1106,Delhaize Group,AD-NL,EUR,10359781740,5/2/2016
1320,Estee Lauder Companies,EL-US,USD,31040000000,4/11/2017
2127,J Sainsbury,SBRY-GB,GBP,8555126580,9/7/2018
2129,J. Front Retailing,3086-JP,JPY,3581675240,7/29/2017
2543,Marfrig,MRFG3-BR,BRL,967201060,3/2/2017
2851,Nomad Foods Europe,,EUR,,1/1/2015
3431,Royal KPN,KPN-NL,EUR,15854592600,2/19/2016
3437,Ruchi Soya,RUCHISOY-IN,INR,113663700,11/4/2016
3855,Suntory,2587-JP,JPY,12318020000,8/6/2018
4092,Tumi,,,,
4093,Tunas Baru Lampung,,IDR,0,
4102,Tyson Foods,TSN-US,USD,27350000000,2017
4289,Weyerhaeuser,WY-US,USD,27980000000,07/27/2018
4290,WH Group,288-HK,HKD,11883338100,6/30/2015
4295,WhiteWave Foods,,USD,0,10/28/2016
45,Abengoa,ABG-ES,EUR,260536565.5,2/22/2018
55,Accenture,ACN-US,USD,65450000000,
260,Anadalu Efes,AEFES-TR,TRY,3957631920,3/23/2017
269,Anglo-Eastern Plantations,AEP-GB,GBP,437852530.6,2017
521,Bertelsmann,,EUR,1770067530,3/23/2017
1046,Dairy Crest Group,DCG-GB,GBP,1285040503,10/18/2016
1047,Dairy Farm International,D01-SG,USD,11620000000,1/28/2018
1051,Daito Trust Construction Co.,1878-JP,JPY,11474320000,10/30/2018
1052,Daiwa House Industry Co.,1925-JP,JPY,18223920000,4/24/2017
1211,Eagle High Plantations,BWPT-ID,IDR,554184000,6/25/2017
1432,Fidelity National Information Services,FIS-US,USD,17820000000,6/16/2015
1833,Hasbro,HAS-US,USD,10820000000,12/9/2016
2235,KBR Inc,KBR-US,USD,2140000000,7/29/2017
2240,Kencana Agri,BNE-SG,,,8/9/2017
2245,Kering,KER-FR,EUR,40852724220,10/25/2018
2422,LG International,001120-KR,KRW,906880000,3/29/2018
2584,McCormick,MKC-US,USD,13940000000,1/29/2018
2586,McDonald\92s,MCD-US,USD,104890000000,3/8/2017
2591,Mead Johnson Nutrition Company,,USD,16400000000,4/7/2017
2681,Mondelez,MDLZ-US,USD,60920000000,9/10/2018
2682,Mondi,MND-ZA,ZAR,2471449590,2017
2685,Monsanto,MONSANTO-IN,USD,44100000000,11/2/2016
3120,Post Holdings,POST-US,USD,5600000000,4/14/2017
3347,Real,,EUR,,1/1/2007
3349,Reckitt Benckiser,RB.-GB,GBP,72804991350,4/24/2017
3505,SAP,SAP-DE,EUR,97636056210,2/2/2016
3507,Sappi Group,SAP-ZA,ZAR,2474521240,9/30/2018
3508,Sappi North America,,,,
3509,Sapporo,2501-JP,JPY,1780291370,9/7/2016
3511,Sarawak Oil Palms,SOP-MY,,,8/9/2017
3722,Sodexo,SW-FR,EUR,16006622940,11/20/2017
4015,Time Publishing and Media,600551-CN,CNY,1549558880,6/29/2016
4250,Walmart,WMT-US,USD,222890000000,2018
4251,Walt Disney Company,DIS-US,USD,156510000000,9/12/2018
4441,Arca Continental,AC*-MX,MXN - Mexican Peso,,2017
4442,Essity,,SEK - Swedish Krona,,2017
270,Anheuser-Busch InBev,BUD-US,EUR,190863232560,08/08/2018
1365,Facebook,FB-US,USD,305530000000,
1605,GFK,,EUR,1357413750,4/13/2016
2001,IJM Plantations Berhad,IJMPLNT-MY,,,8/9/2017
2306,Kraft Heinz,KHC-US,USD,106230000000,10/12/2016
2307,Krispy Kreme,,USD,1090000000,10/12/2016
2308,Kroger,KR-US,USD,20460000000,7/13/2017
2312,KS Oils ltd.,,,,8/9/2017
2315,Kuala Lumpur Kepong Berhad (KLK),KLK-MY,MYR,6115311160,12/21/2018
2456,L'Occitane International,,HKD,3128614920,10/18/2016
2689,Morgan Sindall Group,MGNS-GB,GBP,712221489.1,11/08/2018
75,Adecoagro,AGRO-US,USD,1360000000,11/15/2018
79,Adidas,ADS-DE,USD - US Dollar,43567551720,1/24/2019
81,Aditya Birla Nuvo,,INR,3020334240,4/12/2017
634,BRF,BRFS-US,USD,12700000000,11/21/2016
840,CHS (CHSCP),CHS-US,USD,226610510,8/31/2017
1040,Daewoo International Corporation,047050-KR,KRW,2471040000,5/30/2017
1044,Dai Nippon Printing Co.,7912-JP,JPY,6882820230,1/29/2018
1182,DS Smith,SMDS-GB,GBP,5919456270,3/29/2017
1190,Dunkin' Brands,DNKN-US,USD,4750000000,10/4/2016
1191,Dupont,DWDP-US,USD,55190000000,11/01/2018
1586,General Mills,GIS-US,USD,34840000000,2018
1588,GENERIX,GENX-FR,EUR,69727629.51,1/22/2016
1868,Henkel,HEN-DE,EUR,52070391450,3/13/2017
2152,Jaya Tiasa Holding Berhad,JTIASA-MY,,,8/9/2017
2153,JBS,JBSS3-BR,BRL,7937974940,9/30/2018
2159,Jeronimo Martins,JMT-PT,EUR,11391416190,2017
92,Aeon,8267-JP,JPY,12149280000,2018
341,Asahi Group Holdings,2502-JP,JPY,17548960000,4/10/2017
579,BMW Group,BMW-DE,EUR - Euro,,9/30/2018
803,Charoen Pokphand Foods PCL,CPF-F-TH / CPF-TH,THB,6110352300,11/22/2016
979,Cranswick,CWK-GB,GBP,1598685270,11/3/2016
1322,Etablissements Fr. Colruyt,COLR-BE,EUR,8329090770,4/4/2016
1333,EUROCASH,EUR-PL,PLN,1474141760,9/1/2016
1969,Iberdrola,IBE-ES,EUR,42036389010,12/21/2016
1975,ICA Gruppen,ICA-SE,SEK,6900424080,2017
2513,Magnit Group,MGNT-RU,RUB,12807264400,11/29/2016
2824,Nielsen,NLSN-US,USD,18340000000,3/14/2016
145,Ahlstrom,AM1-FI,EUR,651254539.3,11/2/2016
146,Ahold Delhaize,AD-NL,EUR,28473110820,2017
390,Austindo Nusantara Jaya,ANJT-ID,IDR,0,8/9/2017
395,Autodesk\A0,ADSK-US,USD,13270000000,6/24/2016
401,Aviko,,EUR,,
615,Bouygues\A0Group,EN-FR,EUR,17657238060,2/2/2018
626,Brambles,BXB-AU,AUD,10675993600,3/18/2016
858,Clariant,CLN-CH,CHF,5308992250,2017
1194,Dupont Nutrition and Health,,,,
1566,Gb Plange UK,,,,
1789,h2o-retailing,8242-JP,JPY,1570716290,9/6/2016
1797,Hain Celestial,HAIN-US,USD,3900000000,2/12/2019
2208,Kagome,2811-JP,JPY,1783497430,3/23/2016
2789,Neste Oil,NESTE-FI,EUR,14279992650,10/26/2018
2791,Nestl\E9,NESN-CH,CHF,249691332700,8/21/2017
210,Alliant Energy Corporation,LN-US,USD,8780000000,6/23/2016
460,Barclay's,BARC-GB,GBP,46721937080,7/22/2015
902,Compass Group,CPG-GB,GBP,35415919630,2/22/2018
906,ConAgra Foods Conagra Brands Inc,CAG-US,USD,13520000000,8/29/2017
1283,Empire Company Limited,EMP.A-CA,CAD,5020660880,1/1/2016
1288,Energizer,ENR-US,USD,2470000000,3/23/2016
1458,Fluor Corporation,FLR-US,USD,6230000000,7/29/2017
1875,Hero Supermarket,HERO-ID,IDR,361440000,7/24/2017
1881,Hewlett-Packard (HP inc.),HPQ-US,USD,31120000000,2/12/2019
2079,International Flavors & Fragrances,IFF-US,USD,10280000000,11/05/2018
2081,International Paper APPM,IPAPPM-IN,INR,212617980,5/2/2017
2082,International Paper Co.,IP-US,USD,25480000000,10/25/2018
2263,Kikkoman,2801-JP,JPY,6611908160,2/18/2016
2265,Kimberly-Clark,KMB-US,USD,45420000000,2017
2268,Kingfisher,KGF-GB,GBP,9664124470,10/11/2018
2629,Metro Cash & Carry,Subsidiary,EUR,,1/1/2013
2630,Metsa Board Corporation,METSA-FI,EUR,2443344750,11/08/2018
2838,Nisshin Oillio,2602-JP,JPY,987129000,4/11/2017
2839,Nisshin Seifun Group,2002-JP,JPY,4830182500,6/28/2017
2840,Nissin Foods (USA),Subsidiary,JPY,6253504400,3/31/2017
375,Astra Agro Lestari,AALI-ID,IDR,2051280000,12/21/2018
383,Atria Group,ATRAV-FI,EUR,392922413.7,2/22/2018
384,Atria Scandinavia,Subsidiary,EUR,0,1/1/2016
782,Cereform,Subsidiary,,,
1222,EBARA FOODS,2819-JP,JPY,181311130,8/30/2016
1404,Felda Global Ventures,FGV-MY,MYR,1795087560,12/31/2017
1409,Femsa,FEMSAUBD-MX / KOFL-MX,MXN,21662595310,7/21/2017
1649,Golden Plantation TBK,GOLL-ID,,,8/9/2017
1934,House Foods,2810-JP,JPY,2599186590,6/19/2017
2115,Ito En,2593-JP,JPY,3858071360,6/14/2017
2116,Itochu Corporation,8001-JP,JPY,21008130000,4/18/2017
2326,Kusuri No Aoki,3549-JP,JPY,1417331630,5/31/2017
2474,Lowe's Companies,LOW-US,USD,71190000000,11/25/2018
3128,Prada,1913-HK,HKD,8995089240,11/30/2016
295,Apple Inc,AAPL-US,USD,729220000000,2017
302,Arata,2733-JP,JPY,326765010,08/02/2018
785,Cermaq,Subsidiary,NOK,,1/1/2012
967,CostCo,COST-US,USD,69550000000,2017
973,Coway Co Ltd\A0,021240-KR,KRW,6705920000,6/29/2016
1159,Domino's,DPZ-US,USD,9970000000,2/27/2018
1161,Domtar Corporation,UFS-CA,USD,3200000000,10/9/2018
1162,Orsted,ORSTED-DK,DKK,16015821140,2/4/2019
1530,FUJITSU,6702-JP,JPY - Japanese Yen,17464590,09/04/2018
2179,Johnson Controls,JCI-US,USD,41380000000,7/21/2017
2387,Lawson,2651-JP,JPY,6422919360,2018
2577,Mayr-Melnhof Karton Aktiengesellschaft,MMK-AT,EUR,2649671640,2/9/2018
2579,Mazda Motor Corporation,7261-JP,JPY,8065097040,2/9/2018
155,Aimia Loyalty Analytics,AIM-CA,CAD,959002640,3/21/2016
158,Air France KLM S.A.,AF-FR,EUR,2302173720,3/30/2017
164,Ajinomoto,2802-JP,JPY,10714990000,07/31/2018
403,Avon,AVP-US,USD,1850000000,1/19/2019
406,AXA Group,CS-FR,HUF,185034240,3/21/2017
410,Axfood,AXFO-SE,SEK,3518420708,2017
612,Boustead Plantations Berhad,MHC-MY,,,8/9/2017
991,Croda International,CRDA-GB,GBP,5573794590,2/18/2016
1168,Dow,,USD,0,6/1/2016
1177,Dragsbaek A/S,Subsidiary,,,
1178,Drax Group,DRX-GB,GBP,1814723820,2017
1782,H & M,HM B-SE,SEK,42019113400,9/18/2017
2210,Kajima Corporation,1812-JP,JPY,6190842801,2/14/2019
2214,Kameda Seika,2220-JP,JPY,851124560,3/23/2016
2218,Kao Corporation,4452-JP,JPY,32144970000,2017
2436,Life Corporation,8194-JP,JPY,1474618860,6/14/2017
2549,Marks & Spencer,MKS-GB,GBP,6250715380,9/17/2018
167,AKITA,8343-JP,JPY,623831780,12/29/2015
361,ASOS,ASC-GB,GBP,8627139430,8/31/2017
370,Associated British Foods,ABF-GB,GBP,30216591860,3/28/2017
882,Coles Supermarkets,Subsidiary,AUD,0,
1068,Danone,BN-FR,EUR,42774822090,2017
1464,Fonterra,FCG-NZ,NZD,6575025320,2018
1661,Goodhope Asia Holdings,Subsidiary,,,
2271,Kingspan Group,KRX-IE,EUR,6113791530,4/26/2017
2274,Kirin Holdings,2503-JP,JPY,21683090000,2017
2278,Klabin,KLBN11-BR,BRL,6174255360,3/29/2018
2280,KLM (Royal Dutch Airlines),KLMR-US,EUR,2139284070,10/31/2018
2638,Microsoft,MSFT-US,USD,452750000000,8/30/2016
2878,Novozymes,NZYM B-DK,DKK,10749488530,11/30/2016
3084,Pioneer Foods,PFG-ZA,ZAR,2112066540,7/24/2017
3300,PZ Cussons,PZC-GB,GBP,1973152090,3/8/2017
3306,QL Resources Berhad,QL-MY,,,8/9/2017
3566,Sealed Air,SEE-US,USD,8570000000,10/21/2016
3728,Softbank Group Corp.,9984-JP,JPY,75089300000,2018
4197,Verso Corporation,VRS-US,USD,191210000,4/20/2017
4200,VF Corporation,VFC-US,USD,29160000000,3/15/2018
4424,Test Company,,,,2003
4428,Amazon,AMZN-US,USD - US Dollar,,07/26/2018
2409,Lenzing,LNZ-AT,EUR,3464119890,10/17/2018
2561,Marubeni,8002-JP,JPY,9702550000,4/27/2017
2712,Mulberry Company (Design),MUL-GB,GBP,963488725.3,11/30/2016
2893,Obrascon Huarte Lain (OHL),OHL-ES,EUR,1455147540,11/14/2018
2899,Office Depot,ODP-US,USD,1832000000,1/21/2018
3140,Premium Fats,Subsidiary,,,
3142,Premium Vegetable Oils,Subsidiary,,,
3285,PTT PLC,PTT-TH,THB,26890866600,6/16/2015
3291,Puma,PUM-DE,EUR,5407936380,10/25/2018
