"CompanyId","CompanySiteID","CompanyName","PostToWebsite","Visible","Researcher","Cohort","DateLastUpdated","RefreshSchedule","NextRefresh","RelevantParentCompany","RelevantSubsidiaryCompanies","AllAliases","FirstEightAliases","AllOtherAliases","CompanyWebsite","Majorcompanybrands","HeadquarterCountry","PublicOrPrivate","TickerSymbol","Sector","Industry","MarketCapitalizationDisclosed","MarketCapitalization","AnnualRevenueDisclosed","AnnualRevenue","FinancesCurrency","MarketCapitalizationInUsd","AnnualRevenueInUsd","FinancesCurrentAsOf","TwitterHandle","SustainabilityReporting","SustainabilityCommodityReporting","CommodityReportedon","SustainabilityReportingYear","AcknowledgeDeforestationIssue","AcknowlDeforestationwithCommod","CDP2015_voluntaryoffsetbuyer","PromiseFuturDeforestationCommit","CommodityTypeofFutureCommit","GeneralCommitment","SoyCommitment","PalmCommitment","TimberPulpCommitment","CattleCommitment","TotalCommitments","DormantCommPresent","NumberOfAssessments","NumberOfRelatedActivities","CreatedAt","ModifiedAt","VoluntaryOffsets","Researcher_Other","UpdatedNotes"
"1","","11er Nahrungsmittel GmbH","","","","","","-","","","","","","","11er Nahrungsmittel GmbH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","0","","0","1","","2/13/2019 5:22:08 PM","","",""
"2","","1888 Mills","","","","","","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","0","","1/26/2019 2:14:34 AM","","",""
"3","918","2 Sisters Food Group","yes","yes","Philip","2016","3/14/2017","9 Month","12/14/2017","Boparan Holdings","2 Sisters Storteboom","Buxted, Devonshire Red, Fox's Biscuits, Goodfella's Pizza, Green Islevegetables, Matthew Walker Christmaspudding","Buxted,  Devonshire Red,  Fox's Biscuits,  Goodfella's Pizza,  Green Islevegetables,  Matthew Walker Christmaspudding","","www.2sfg.com","","United Kingdom","Private","Private","Food Products","Consumer Goods","No","","No","","","","","3/14/2017","2SFGofficial","","","","","","","","","","","Yes","Yes","No","No","2","","1","1","","2/13/2019 5:22:08 PM","","",""
"4","","2Tree Consultoria e Meio Ambiente Ltda","","","","","","-","","","","","","","www.2treeconsultoria.com.br","","BRAZIL","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","1","","1/26/2019 2:14:34 AM","","",""
"5","","33 Forest Capital","No exposure","","","","","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","1","","1/26/2019 2:14:34 AM","","",""
"6","","3C Lavorazioni Pelli Srl","","","","","","-","","","","","","","www.conceria3c.it","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","1","","1/26/2019 2:14:34 AM","","",""
"7","","3ds.com, the 3DEXPERIENCE Company","No exposure","no","Philip","","12/29/2015","-","","","","Dassault Systemes","Dassault Systemes","","www.3ds.com","","France","Publicly traded","Paris: DSY","Software","Technology","","18790000000.0000","No","","EUR","20404643490","","12/29/2015","","","","","","","","","","","","No","No","No","No","0","","0","1","","2/13/2019 5:22:08 PM","","",""
"8","","3F Industries Limited","","","","","","-","","","","","","","3F Industries Limited","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","1","","1/26/2019 2:14:34 AM","","",""
"9","","3G Capital","No - profiled under subsidiary","","Jonathan","","3/29/2017","12 Month","3/29/2018","","Restaurant Brands International, Kraft Heinz, Burger King","","","","www.3g-capital.com/index.html","","","Private","","Diversified Holding Companies","","","","","","","","","","","","","","","","","","","","","No","No","No","No","0","","0","0.5","","1/26/2019 2:14:34 AM","","",""
"10","404","3M","Yes","yes","Laura","2016","8/27/2018","9 Month","12/13/2017","","","","","","www.3m.com","","United States","Publicly traded","NYSE: MMM","Diversified Holding Companies","Business/Consumer Services","","123000000000.0000","","31660000000.0000","USD","114000000000","30110000000","2018","3M","","","","","","","","","","","no","Yes","yes","no","1","","0","5","","2/25/2019 3:39:23 PM","","","market capitalization, annual revenue, finance year"
"11","","66 Degrees North","","","","","","-","","","","","","","www.66north.com","","","","","Apparel Retailers","Apparel and Textile Goods","","","","","","","","","","","","","","","","","","","","","","","","0","","0","1","","1/26/2019 2:14:34 AM","","",""
"12","","99p Stores","","","","","","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","0","","1/26/2019 2:14:34 AM","","",""
"13","","A Buhler","","","","","","-","","","","","","","www.abuhler.com.br","","Brazil","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","2","1","","1/26/2019 2:14:34 AM","","",""
"14","","A Smit & Zoon BV","","","Melissa","","","-","","","","","","","www.smitzoon.nl","","Netherlands","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","1","","1/26/2019 2:14:34 AM","","","HQ country"
"241","","AMCOL International","","","","","","-","","","","","","","AMCOL International","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","1","","1/26/2019 2:14:34 AM","","",""
"242","","Amcor","No commitment, has exposure","","Laura","","9/11/2018","12 Month","8/26/2017","","","","","","www.amcor.com","","Australia","Publicly traded","AU:AMC","Containers/Packaging","Industrial Goods","","16250000000.0000","","12030000000.0000","AUD","12452984640","8105326720","2018","","","","","","","","","","","","No","No","No","No","0","","3","1","","1/26/2019 2:14:34 AM","","","market capitalization, annual revenue, finance year"
"243","","Amer Sports","","","","","","-","","","","","","","www.amersports.com","","","","","Apparel Retailers","Apparel and Textile Goods","","","","","","","","","amer_sports","","","","","","","","","","","","","","","0","","0","1","","1/26/2019 2:14:34 AM","","",""
"244","","American Airlines Group Inc","","","","","","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","0","","1/26/2019 2:14:34 AM","","",""
"245","","American Eagle Outfitters","","","","","","-","","","","","","","www.ae.com","","United States","","","Apparel Retailers","Apparel and Textile Goods","","","","","","","","","aeo","","","","","","","","","","","","","","","0","","0","1","","1/26/2019 2:14:34 AM","","",""
"246","","American Electric Power Company, Inc.","","","","","","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","0","","1/26/2019 2:14:34 AM","","",""
"247","","American Express Payment Services Limited","","","","","","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","0","","1/26/2019 2:14:34 AM","","",""
"248","","American Green Consulting Group, LLC","","","","","","-","","","","","","","","","UNITED STATES","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","1","","1/26/2019 2:14:34 AM","","",""
"249","","Americo Coppini & Figlio Srl","","","","","","-","","","","","","","Americo Coppini & Figlio Srl","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","1","","1/26/2019 2:14:34 AM","","",""
"250","","Amering Salzkammergut Eiprodukte GmbH & Co KG","","","","","","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","1","","1/26/2019 2:14:34 AM","","",""
"251","","Amichem SRL","","","","","","-","","","","","","","http://www.amichem.it/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","1","","1/26/2019 2:14:34 AM","","",""
"252","","Amigos da Terra","No exposure","","Jonathan","","11/21/2016","-","","","","","","","amigosdaterra.org.br","","Brazil","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","1","","1/26/2019 2:14:34 AM","","",""
"253","","Amita Institue of Environmental Certification Co., Ltd.","","","","","","-","","","","","","","www.amita-net.co.jp/business/certification","","JAPAN","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","0","","1/26/2019 2:14:34 AM","","",""
"254","","AMKA PRODUCTS","No exposure","no","Philip","","1/21/2016","-","","","","","","","www.amka.co.za","","South Africa","Private","Private","Personal Care Products/Appliances","Consumer Goods","No","","","","ZAR","","0","1/21/2016","","","","","","","","","","","","No","No","No","No","0","","0","1","","1/26/2019 2:14:34 AM","","",""
"464","","Barlow Tyrie","","","","","","-","","","","","","","","","United Kingdom","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","1","0","","1/26/2019 2:14:46 AM","","",""
"465","","Barney's Premium Foods","","","","","","-","","","","","","","Barney's Premium Foods","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","1","","1/26/2019 2:14:46 AM","","",""
"466","","Barratt Developments","","","Jonathan","","5/25/2017","-","","","","","","","","","United Kingdom","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","1","0","","1/26/2019 2:14:46 AM","","",""
"467","2188","Barry Callebaut Group","Yes","yes","Laura","2016","12/20/2018","6 Month","1/19/2018","","ASM Foods, La Morella Nuts","Barry Callebaut AG, Barry Callebaut Food Manufacturers Europe","Barry Callebaut AG,  Barry Callebaut Food Manufacturers Europe","","www.barry-callebaut.com","","Switzerland","Publicly traded","CH: BARN","Food Products","Consumer Goods","","10820000000.0000","","6810000000.0000","CHF","7353202350","6628797800","11/05/2018","BarryCallebaut","","","","","","","","","","","Yes","Yes","Yes","Yes","4","","8","5","","2/13/2019 5:22:08 PM","","","market capitalization, annual revenue, finance year"
"468","","BASAMH TRADING & INDUSTRIES GROUP","","","Jonathan","","2/1/2017","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","1","","1/26/2019 2:14:46 AM","","",""
"469","24","BASF","Yes","yes","An","2016","12/30/2018","6 Month","1/19/2018","","Cognis","","","","www.basf.com","","Germany","Publicly traded","DE:BAS","Commodity Chemicals","Basic Materials/Resources","","55480000000.0000","","64470000000.0000","EUR","81564277410","62495329050","10/26/2018","BASF","","","","","","","","","","","No","Yes","No","No","2","","6","6","","1/26/2019 2:14:46 AM","","","market cap, annual rev"
"470","","Basix-IGS","","","","","","-","","","","","","","","","India","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","1","","1/26/2019 2:14:46 AM","","",""
"471","","Bata","","","","","","-","","","","","","","www.bata.com/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","2","1","","1/26/2019 2:14:46 AM","","",""
"472","","Bauer Media","","","","","","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","2","0","","1/26/2019 2:14:46 AM","","",""
