Currency,ExRate
TRY,5.8209777778
CAD,1.3391111111
ISK,120.5333333333
NOK,8.5313777778
CHF,1.0118222222
INR,69.3937777778
HKD,7.8457777778
THB,31.8151111111
KRW,1136.8444444444
RON,4.2327111111
SEK,9.312
AUD,1.3972444444
HUF,284.5244444444
RUB,63.9750222222
CNY,6.7062222222
ILS,3.5939555556
DKK,6.6367111111
CZK,22.8284444444
MXN,18.8713777778
ZAR,14.0872888889
IDR,14042.4977777778
HRK,6.6088888889
SGD,1.3556444444
NZD,1.4950222222
USD,1.0
PHP,51.6862222222
MYR,4.1430222222
GBP,0.7686222222
JPY,111.8755555556
BRL,3.9294222222
PLN,3.8032
EUR,0.8888888889
BGN,1.7384888889
