,CompanyId,CompanySiteID,CompanyName,PostToWebsite,Visible,Researcher,Cohort,DateLastUpdated,RefreshSchedule,NextRefresh,RelevantParentCompany,RelevantSubsidiaryCompanies,AllAliases,FirstEightAliases,AllOtherAliases,CompanyWebsite,Majorcompanybrands,HeadquarterCountry,PublicOrPrivate,TickerSymbol,Sector,Industry,MarketCapitalizationDisclosed,MarketCapitalization,AnnualRevenueDisclosed,AnnualRevenue,FinancesCurrency,MarketCapitalizationInUsd,AnnualRevenueInUsd,FinancesCurrentAsOf,TwitterHandle,SustainabilityReporting,SustainabilityCommodityReporting,CommodityReportedon,SustainabilityReportingYear,AcknowledgeDeforestationIssue,AcknowlDeforestationwithCommod,CDP2015_voluntaryoffsetbuyer,PromiseFuturDeforestationCommit,CommodityTypeofFutureCommit,GeneralCommitment,SoyCommitment,PalmCommitment,TimberPulpCommitment,CattleCommitment,TotalCommitments,DormantCommPresent,NumberOfAssessments,NumberOfRelatedActivities,CreatedAt,ModifiedAt,VoluntaryOffsets,Researcher_Other,UpdatedNotes
6,7,,"3ds.com, the 3DEXPERIENCE Company",No exposure,no,Philip,,12/29/2015,-,,,,Dassault Systemes,Dassault Systemes,,www.3ds.com,,France,Publicly traded,Paris: DSY,Software,Technology,,18790000000.0,No,,EUR,20404643490.0,,12/29/2015,,,,,,,,,,,,No,No,No,No,0.0,,0.0,1.0,,2/13/2019 5:22:08 PM,,,
9,10,404.0,3M,Yes,yes,Laura,2016.0,8/27/2018,9 Month,12/13/2017,,,,,,www.3m.com,,United States,Publicly traded,NYSE: MMM,Diversified Holding Companies,Business/Consumer Services,,123000000000.0,,31660000000.0,USD,114000000000.0,30110000000.0,2018,3M,,,,,,,,,,,no,Yes,yes,no,1.0,,0.0,5.0,,2/25/2019 3:39:23 PM,,,"market capitalization, annual revenue, finance year"
15,242,,Amcor,"No commitment, has exposure",,Laura,,9/11/2018,12 Month,8/26/2017,,,,,,www.amcor.com,,Australia,Publicly traded,AU:AMC,Containers/Packaging,Industrial Goods,,16250000000.0,,12030000000.0,AUD,12452984640.0,8105326720.0,2018,,,,,,,,,,,,No,No,No,No,0.0,,3.0,1.0,,1/26/2019 2:14:34 AM,,,"market capitalization, annual revenue, finance year"
31,467,2188.0,Barry Callebaut Group,Yes,yes,Laura,2016.0,12/20/2018,6 Month,1/19/2018,,"ASM Foods, La Morella Nuts","Barry Callebaut AG, Barry Callebaut Food Manufacturers Europe","Barry Callebaut AG,  Barry Callebaut Food Manufacturers Europe",,www.barry-callebaut.com,,Switzerland,Publicly traded,CH: BARN,Food Products,Consumer Goods,,10820000000.0,,6810000000.0,CHF,7353202350.0,6628797800.0,11/05/2018,BarryCallebaut,,,,,,,,,,,Yes,Yes,Yes,Yes,4.0,,8.0,5.0,,2/13/2019 5:22:08 PM,,,"market capitalization, annual revenue, finance year"
33,469,24.0,BASF,Yes,yes,An,2016.0,12/30/2018,6 Month,1/19/2018,,Cognis,,,,www.basf.com,,Germany,Publicly traded,DE:BAS,Commodity Chemicals,Basic Materials/Resources,,55480000000.0,,64470000000.0,EUR,81564277410.0,62495329050.0,10/26/2018,BASF,,,,,,,,,,,No,Yes,No,No,2.0,,6.0,6.0,,1/26/2019 2:14:46 AM,,,"market cap, annual rev"
41,477,25.0,Bayer,Yes,yes,An,2016.0,12/30/2018,6 Month,1/18/2018,,"Bayer CropScience AG, Monsanto","ADENGO, Advantan, Advantix, AFRIN, ALEVE, Alka Seltzer, Aspirin, Basta, Baycox, Bayer Co. Sdn Bhd, Bayer Health Care, Baytril, BELT, Bepanthen, Berocca, Betaferon, Canesten, Ciproxin, Claritin, Confidor, Coppertone, Elevit, Fiber Max, Gaucho, Iberogast, In Vigor, Luna, MiraLAX, Mirena, MOVENTO, Nativo, Nunhems, One A Day, PONCHO, Priorin, PROSORO, Redoxon, Rennie, Seresto, Skinoren, Supradyn, Talcid, Xpro, Zelnate","ADENGO,  Advantan,  Advantix,  AFRIN,  ALEVE,  Alka Seltzer,  Aspirin,  Basta"," Baycox,  Bayer Co. Sdn Bhd,  Bayer Health Care,  Baytril,  BELT,  Bepanthen,  Berocca,  Betaferon,  Canesten,  Ciproxin,  Claritin,  Confidor,  Coppertone,  Elevit,  Fiber Max,  Gaucho,  Iberogast,  In Vigor,  Luna,  MiraLAX,  Mirena,  MOVENTO,  Nativo,  Nunhems,  One A Day,  PONCHO,  Priorin,  PROSORO,  Redoxon,  Rennie,  Seresto,  Skinoren,  Supradyn,  Talcid,  Xpro,  Zelnate",www.bayer.com,,Germany,Publicly traded,XE: BAYN,Specialty Chemicals,Basic Materials/Resources,,56480000000.0,,35020000000.0,EUR,30775284540.0,50788992870.0,11/13/2018,Bayer,,,,,,,,,,,Yes,Yes,No,No,2.0,,0.0,6.0,,2/13/2019 5:22:08 PM,,,"market cap, annual rev"
77,1302,2570.0,Equatorial Palm Oil,Yes,Yes,An,2018.0,10/22/2018,9 Month,3/28/2018,"Kuala Lumpur Kepong Berhad (KLK), KLK Agro",,,,,www.epoil.co.uk,,United Kingdom,Publicly traded,London: PAL,Farming,Agriculture,,6060000.0,No,,EUR,11119933.44,,9/30/2018,,,,,,,,,,,,No,Yes,No,No,1.0,,0.0,1.0,,1/26/2019 2:14:40 AM,,,market cap
119,1914,104.0,Holmen,Yes,yes,Philip,2016.0,2/6/2018,Predictable,Predictable,L.E. Lundbergsf\F6retagen (33%),"Holmen Paper, Iggesund Paperboard, Iggesund Timber, Holmen Skog, Holmen Energi","Holmen BOOK, Holmen GUIDE, Holmen Mets, Holmen NEWS, Holmen PLUS, Holmen TRND, Holmen UNIQ, Holmen VIEW, Holmen XLNT","Holmen BOOK,  Holmen GUIDE,  Holmen Mets,  Holmen NEWS,  Holmen PLUS,  Holmen TRND,  Holmen UNIQ,  Holmen VIEW",Holmen XLNT,www.holmen.com,,Sweden,Publicly traded,SE: HOLMB,Paper/Pulp,Basic Materials/Resources,,38030000000.0,,16370000000.0,SEK,4449357880.0,1915224520.0,2/2/2018,,,,,,,,,,,,No,No,Yes,No,1.0,,3.0,2.0,,2/13/2019 5:22:08 PM,,,
124,1919,,Home Retail Group,No - profiled under parent,yes,Jonathan,2016.0,4/25/2017,12 Month,4/25/2018,J Sainsbury,"Homebase, Argos, Habitat",,,,www.homeretailgroup.com,,United Kingdom,Publicly traded,Subsidiary,Mixed Retailing,Retail/Wholesale,Subsidiary,,,5710000000.0,GBP,,8223867470.0,9/7/2016,Homebase_uk,,,,,,,,,,,No,No,Yes,Former,1.0,,2.0,4.25,,1/26/2019 2:14:40 AM,,,
139,2147,,JAPAN TRANSCITY,No exposure,,Jonathan,,2/22/2016,-,,,,Trancy,Trancy,,www.trancy.co.jp,,Japan,Publicly traded,Tokyo: 9310,Transportation Services,Transportation/Logistics,,23770000000.0,,92500000000.0,JPY,200547490.0,780422500.0,2/22/2016,,,,,,,,,,,,,,,,0.0,,0.0,1.0,,2/13/2019 5:22:08 PM,,,
149,2290,131.0,Kokuyo Co.,Yes,yes,An,2016.0,10/22/2018,9 Month,8/16/2017,,,"ACTUS, KAUNET, The Conran Shop","ACTUS,  KAUNET,  The Conran Shop",,www.kokuyo.co.jp,,Japan,Publicly traded,JP : 7984,Nondurable Household Products,Consumer Goods,,234700000000.0,,315620000000.0,JPY,1405519830.0,2567210360.0,07/30/2018,,,,,,,,,,,,No,No,Yes,No,1.0,,1.0,2.0,,2/13/2019 5:22:08 PM,,,"Market cap, annual rev"
161,2601,,Mega Retail,"No commitment, has exposure",,Jonathan,,6/19/2017,12 Month,6/19/2018,"Alon, Blue Square Isreal",,,,,www.mega.co.il,,Israel,Publicly traded,NYSE:BSI,Food Retailers & Wholesalers,Retail/Wholesale,,21200000.0,,11060000.0,USD,21200000.0,11060000.0,3/24/2016,,,,,,,,,,,,no,no,no,no,0.0,,0.0,0.0,,1/26/2019 2:14:46 AM,,,
164,2604,,Megmilk Snow Brand,"No commitment, has exposure",no,Jonathan,,9/5/2018,12 Month,5/29/2018,,,Snow Brand Milk Products Co,Snow Brand Milk Products Co,,www.meg-snow.com/english,,Japan,Publicly traded,Tokyo: 2270,Food Products,Consumer Goods,,237370000000.0,,587930000000.0,JPY,2002690690.0,4960365410.0,5/29/2017,,,,,,,,,,,,No,No,No,No,0.0,,0.0,2.0,,2/13/2019 5:22:08 PM,,,
177,2748,,Nankai Electric Railway Co.,No exposure,,Jonathan,,6/28/2016,-,,,,,,,www.howto-osaka.com,,Japan,Publicly traded,Tokyo: 9044,Transportation Services,Transportation/Logistics,,316960000000.0,,219070000000.0,JPY,2674191520.0,1848293590.0,6/28/2016,,,,,,,,,,,,,,,,0.0,,1.0,1.0,,1/26/2019 2:14:58 AM,,,
194,3069,681.0,Philips,yes,yes,Philip,2016.0,2/7/2018,9 Month,11/7/2018,,,"Koninklijke Philips N. V., Royal Philips","Koninklijke Philips N. V.,  Royal Philips",,www.philips.com/,,Netherlands,Publicly traded,NL: PHIA,Computers/Consumer Electronics,Consumer Goods,,28650000000.0,,24520000000.0,EUR,31111923150.0,26627028120.0,2/7/2018,Philips,,,,,,,,,,,No,No,Yes,No,1.0,,0.0,3.0,,2/13/2019 5:22:08 PM,,,
230,3498,2930.0,Sanoma,Yes,yes,Jonathan,2016.0,11/8/2016,12 Month,11/8/2017,,"sanomapaino, Bookwell",Sanoma W SOY,Sanoma W SOY,,www.sanoma.com,,Finland,Publicly traded,FI: SAA1V,Publishing,Media/Entertainment,,1250000000.0,,1720000000.0,EUR,1357413750.0,1867801320.0,11/8/2016,Sanoma,,,,,,,,,,,No,No,Yes,No,1.0,,1.0,2.0,,2/13/2019 5:22:08 PM,,,
233,3501,,Santander,No exposure,,Jonathan,,11/22/2016,-,,,,,,,www.santander.com,,Spain,Publicly traded,ES: SAN,Bank,Financials,,90100000000.0,,,EUR,97842383100.0,0.0,2/2/2015,,,,,,,,,,,,,,Yes,,1.0,,0.0,3.0,,1/26/2019 2:15:04 AM,,,
239,3675,2037.0,SIPEF,yes,yes,Laura,2016.0,10/31/2018,6 Month,7/8/2018,,"Kerasaan Indonesia, Agro Muko, Hargy Oil Palms, PT Tolan Tiga Indonesia",,,,www.sipef.be,,Belgium,Publicly traded,Brussels: SIP,Farming,Agriculture,,534260000.0,,285160000.0,EUR,721470837.78,262067728.23,2017,,,,,,,,,,,,No,Yes,No,No,1.0,,3.0,1.0,,1/26/2019 2:14:52 AM,,,"market capitalization, annual revenue, finance year"
252,3874,2763.0,Suzano Pulp & Paper,Yes,Yes,Philip,2018.0,3/29/2018,9 Month,12/29/2018,,"Suzano Unidades Industriais, Suzano Unidade de Negocio Florestal, Suzano Unidade de Manejo Florestal, Suzano Trading, Suzano Stenfar, Suzano Pulp and Paper",,,,www.suzano.com.br,,Brazil,Publicly traded,Bovespa: SUZB3,Paper/Pulp,Basic Materials/Resources,,36990000000.0,,10520000000.0,BRL,9150068340.0,2602290320.0,3/29/2018,,,,,,,,,,,,No,No,Yes,No,1.0,,2.0,3.25,,1/26/2019 2:15:04 AM,,,
267,4133,,United Cacao,"No commitment, has exposure",,Philip,,3/29/2018,12 Month,3/29/2019,Melka Group,Cacao del Peru Norte SAC,,,,unitedcacao.com/index.php/en,,Cayman Islands,Publicly traded,London: CHOC,Farming,Agriculture,,23010000.0,No,,GBP,33140313.57,,3/29/2018,unitedcacao,,,,,,,,,,,No,No,No,No,0.0,,0.0,0.0,,1/26/2019 2:14:58 AM,,,
271,4137,,United Plantations,,,,,,-,,United International Enterprises,,,,,United Plantations Bhd,,Malaysia,Publicly traded,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,3.0,1.0,,1/26/2019 2:14:58 AM,,,
280,4362,,Yamazaki Baking,"No commitment, has exposure",,Ciro,,9/4/2018,12 Month,6/7/2018,,,,,,www.yamazakipan.co.jp,,Japan,Publicly traded,Tokyo: 2212,Food Products,Consumer Goods,,525150000000.0,,1040000000.0,JPY,4430690550.0,8774480000.0,6/7/2017,,,,,,,,,,,,No,No,No,No,0.0,,2.0,1.0,,1/26/2019 2:15:04 AM,,,Revenue
313,310,498.0,Archer Daniels Midland,yes,yes,Nathan,2016.0,1/28/2019,6 Month,2/11/2018,,"Stratas Foods, Edible Oils Limited, ADMIS, Rudolf Wild, Pura Foods, Soci\E9t\E9 Industrielle des Ol\E9agineux (SIO)","ADM, Cardio Aid, Coroli, Enviro Strip, Evolution Chemicals, Nova Lipid, Novasoy, Nutri Soy, Oilio, Vege Full","ADM,  Cardio Aid,  Coroli,  Enviro Strip,  Evolution Chemicals,  Nova Lipid,  Novasoy,  Nutri Soy"," Oilio,  Vege Full",www.adm.com,,United States,Publicly traded,NYSE: ADM,Food Products,Consumer Goods,Yes,24510000000.0,Yes,60840000000.0,USD,23690000000.0,62420000000.0,2017,ADMupdates,,,,,,,,,,,Yes,Yes,No,No,2.0,,11.0,9.0,,2/13/2019 5:22:08 PM,,,"Market cap, revenue, twitter handle"
316,313,2606.0,Arcos Dorados Holdings,Yes,yes,An,2017.0,10/9/2018,6 Month,2/14/2018,,,,,,www.arcosdorados.com,,Uruguay,Publicly traded,NYSE: ARCO,Restaurants & Bars,Leisure Products,,1430000000.0,,3320000000.0,USD,1910000000.0,2930000000.0,8/8/2018,ArcosDorados_,,,,,,,,,,,No,Yes,Yes,Yes,4.0,,0.0,2.0,,1/26/2019 2:14:40 AM,,,"Market cap, annual rev"
320,524,27.0,Best Buy,Yes,yes,An,2016.0,12/31/2018,9 Month,8/2/2017,,,"Geek Squad, Magnolia Home Theater, Pacific Kitchenand Home","Geek Squad,  Magnolia Home Theater,  Pacific Kitchenand Home",,www.bestbuy.com,,United States,Publicly traded,NYSE: BBY,Home Goods Retail,Retail/Wholesale,,13820000000.0,,42150000000.0,USD,10100000000.0,39530000000.0,11/20/2018,BestBuy,,,,,,,,,,,No,No,Yes,No,1.0,,1.0,3.0,,2/13/2019 5:22:08 PM,,,"market cap, annual rev"
323,527,,Better Life Commercial Chain,"No commitment, has exposure",,Jonathan,,9/11/2018,12 Month,8/29/2017,,,,,,www.bbg.com.cn/e/home,,China,Publicly traded,Shenzhen: 002251,Food Retailers & Wholesalers,Retail/Wholesale,,1020000000.0,,15380000000.0,CNY,155260320.0,2341082080.0,8/29/2016,,,,,,,,,,,,No,No,No,No,0.0,,0.0,1.0,,1/26/2019 2:14:34 AM,,,
329,533,1901.0,BIC,Yes,yes,Luke,2016.0,9/3/2018,9 Month,1/21/2018,,BIC Corporation,Societe BIC,Societe BIC,,www.bicworld.com,,France,Publicly traded,Paris: BB,Nondurable Household Products,Consumer Goods,,3720000000.0,,2020000000.0,EUR,6113791530.0,2204439930.0,2018,BICGroup,,,,,,,,,,,No,No,Yes,No,1.0,,0.0,1.0,,2/13/2019 5:22:08 PM,,,"Market cap, annual revenue, finance year"
339,748,42.0,Catalyst Paper,Yes,yes,Philip,2016.0,11/8/2016,12 Month,11/8/2017,,,,,,www.catalystpaper.com,,Canada,Publicly traded,CA:CYT,Paper/Pulp,Basic Industries,,13080000.0,,1990000000.0,CAD,9223348.92,1403246510.0,11/8/2016,catalystpaper,,,,,,,,,,,No,No,Yes,No,1.0,,3.0,2.0,,2/12/2019 4:40:47 PM,Yes,,
