TickerSymbol
Paris: DSY
NYSE: MMM
AU:AMC
CH: BARN
DE:BAS
XE: BAYN
London: PAL
SE: HOLMB
Subsidiary
Tokyo: 9310
JP : 7984
NYSE:BSI
Tokyo: 2270
Tokyo: 9044
NL: PHIA
FI: SAA1V
ES: SAN
Brussels: SIP
Bovespa: SUZB3
London: CHOC

Tokyo: 2212
NYSE: ADM
NYSE: ARCO
NYSE: BBY
Shenzhen: 002251
Paris: BB
CA:CYT
NYSE: DRI
Hong Kong: 0142

VTX: GIVN

ES: ITX
SGX:5JS
Jakarta:INDF
IE:KRZ
FI: KESKOB
CH: LISN
TKO: 4912
UK: LLOY
Tokyo: 2269
Bovespa: BEEF3
Subsidiary
Nasdaq: NWS
NL: AH
NL: DSM
RDSA
Jakarta: SMAR
Jakarta: SMMA
JP: 8113
NYSE: WWW
AU: WOW
South Africa: WHL
SE:AAK
Subsidiary
Subsidiary
Subsidiary
Xetra: BEI
CN: 000882
FR: FBEL
Subsidiary
Bruzzels:COLR
Bovespa: PCAR4
BE: DELB
US:EL
SBRY
Tokyo: 3086
BR:MRFG3
Subsidiary
Amsterdam: KPN
Bombay: 500368
Tokyo: 2587
Subsidiary

NYSE: TSN
NYSE: WY
Hong Kong: 0288
subsidiary
Madrid: ABG
NYSE: ACN
Istanbul: AEFES
UK: AEP
Frankfurt: BTG4
LON: DCG
SGX: D01
JP:1878
Tokyo: 1925
ID: BWPT
NYSE:FIS
Nasdaq: HAS
NYSE: KBR

FR: KER
KRX:001120
NYSE: MKC
NYSE:MCD
NYSE: MJN
MDLZ
SA: MND
NYSE: MON
NYSE: Post
Subsidiary
UK: RB
Xetra: SAP
ZA: SAP
Subsidiary
Tokyo: 2501

FR: SW
Shanghai: 600551
NYSE: WMT
NYSE: DIS
BMV: AC
Stockholm: ESSITYB
NYSE: BUD
Nasdaq: FB
Frankfurt: GFK

Nasdaq: KHC
NYSE:KKD
NYSE: KR

MY: KLK
HK: 0973
UK: MGNS
NYSE: AGRO
DE:ADS
NSE: EQABIRLANUVO
NYSE: BRFS
Nasdaq: CHSCP
KRX: 047050
JP: 7912
London: SMDS
Nasdaq: DNKN
NYSE: DWDP
NYSE: GIS
Paris: GENX
XE:HEN

BR:JBSS3
PT: JMT
JP : 8267
Tokyo: 2502
GER:BMW
Bangkok: CPF
UK: CWK
BE: COLR
Warsaw: EUR
Madrid: IBE
ICA
Moscow: MGNT
NYSE: NLSN
FI: AHL1V
NL: AD

Nasdaq: ADSK
Subsidiary
Paris: EN
AU: BXB
SWX: CLN
Subsidiary
Subsidiary
Tokyo: 8242
Nasdaq: HAIN
Tokyo: 2811
FI: NESTE
SWX Europe: NESN
NYSE: LNT
UK: BARC
UK:CPG
NYSE:CAG
TSX: EMP.A
NYSE: ENR
NYSE: FLR
Indonesia: Hero
NYSE: HPQ
NYSE: IFF
NSE: EQIPAPPM
NYSE: IP
Tokyo: 2801
NYSE: KMB
UK: KGF
Subsidiary
FI: METSA
Tokyo: 2602
Tokyo: 2002
Subsidiary
Jakarta: AALI
Helsinki: ATRAV
Subsidiary
Subsidiary
Tokyo: 2819
Malaysia: FGV
Mexico: FEMSAUBD

Tokyo: 2810
Tokyo: 2593
Tokyo: 8001
Tokyo: 3549
NYSE: LOW
Hong Kong: 1913
Nasdaq: AAPL
Tokyo: 2733
Subsidiary
COST
KRX: 021240
NYSE:DPZ
TSX: UFS
OMX: ORSTED
FJTSY
NYSE: JCI
JP: 2651
Vienna: MMK
Tokyo: 7261
CA: AIM
Paris: AF
JP: 2802
NYSE: AVP
CS: AXA S.A.
SE: AXFO

LON: CRDA
NYSE:DOW
Subsidiary
UK:DRX
SE: HMB
JP: 1812
Tokyo: 2220
TYO: 4452
Tokyo: 8194
UK:MKS
JP: 8343
London: ASC
UK: ABF
Subsidiary
BN
NZX: FCG
Subsidiary
Dublin: KRX
JP: 2503
BR: KLBN4
AFLYY
Nasdaq: MSFT
Denmark: OMX
Denmark: OMX
ZA: PFG
UK: PZC

NYSE: SEE
Tokyo: 9984
NYSE: VRS
NYSE: VFC

AMZN
LNZ
Tokyo: 8002
London: MUL
OHL:ES
Nasdaq: ODP
Subsidiary
Subsidiary
TH: PTT
XE: PUM


Tokyo: 1801
NYSE: UN
NYSE: UN
Taiwan: 1216
IOB: FIVE
NYSE: NKE
Tokyo: 8283
Tokyo: 3382
SIX: SGSN
Nasdaq: SPLS
Nasdaq: SBUX
Subsidiary
JP: 7911
AU: WES
AU: WBC
WRK

Subsidiary
SE: BILL
Subsidiary
NYSE: CPB

Xetra: DPW
DSNG:IJ
Subsidy
UK: DGE
TSX Venture: FRN
Bombay: 532424
Subsidiaries
Bombay: 500164
SG: E5H
Private
Nasdaq: IMKTA
Tokyo: 9869
FR: MC

Tokyo: 2805
JP: 4911
South Africa: SHP
Xetra: SZU
Tokyo: 2875
CA: TCL.A
SGX: F34
SGX: CGP
NYSE: PEP
NYSE: PFGC
TW: 2382
NYSE: SWK
UK: TSCO
NYSE: ZTS
UK: PFD
NYSE: RFP
Toronto: QSR
UK: SK3
Hong Kong: 0019 & 0087
Xetra: SY1
CH: SYNN
Subsidiary
Paris: VIE
NYSE: YUM
Tokyo: 9370
Tokyo: 7936
OTCMKTS: BNGRF
Amsterdam: FFARM
NSE: EQHINDUNILVR
MY: IOICORP
Subsidiary
Nasdaq: KRFT
AU: MTS
GR: MEO
BR: NATU3
SE: ORI
ASX: ORG
Subsidiary
Subsidiary
CO:EXITO


NYSE: BG
Subsidiary
UK: BRBY
Paris: BVI
Subsidiary
STO: CLAB
KO
FR:ELIOR
Subsidiary
UK: GNC
Tokyo: 9086
Tokyo: 7004
Helsinki: HKSAV
NYSE: INTC

Tokyo: 9069
FI: STERV
London: TCG
Toronto: NWC
FR: SGO
BE: SOLB
Lisbon: SON
IT:TRN
Bovespa: TESA3
UK: MLC
subsidiary
UK: NG
Subsidiary
Tokyo: 3861
IOB: OKEY
Subsidiary
SG: O32
ZSE: PODR

FI : RAIVV
SE: SCAB
NYSE: TPR
NYSE: TGT
FI: UPM
NYSE: NTZ
NYSE: NCR
UK: REL
UK: REL
Subsidiary
JP : 1928
Subsidiary
NYSE: S
Subsidiary
Nasdaq: WBA
BOSS:GR
Subsidiary
Tokyo: 2282
Tokyo: 3863
Tokyo: 1332
UK : PSON
London: SAB
Tokyo: 6088
MY: SIME
JP : 1911

Tokyo: 3391
Hong Kong: 0289
Bombay: 507685
UK: MRW
NO: ORK
Subsidiary
Subsidiary
Manila: RRHI
TASE: STRS
UK: TPK
NYSE: WMK
Nasdaq:WEN

NYSE: TIF
NYSE: VFC
Tokyo: 3784

